Date:	Sun, Nov 03, 2013		
measured by:	Rotem		
Second sample, 20 min pirahna, 50 min air (still very hydrophillic surface),1min50sec HF (hydrophobic enough), 2 min 20 till start 			
Time [s]	CPD stream	Light	SPV
0.000000	-640.483000		
0.501000	-640.692000		
1.001000	-641.548000		
1.501000	-641.811000		
2.001000	-642.819000		
2.501000	-642.901000		
3.001000	-643.352000		
3.501000	-643.866000		
4.001000	-644.241000		
4.500000	-644.773000		
5.001000	-645.577000		
5.501000	-646.000000		
6.001000	-646.531000		
6.501000	-646.725000		
7.001000	-646.864000		
7.501000	-647.356000		
8.001000	-647.867000		
8.501000	-648.201000		
9.001000	-648.530000		
9.501000	-648.835000		
10.001000	-649.034000		
10.500000	-649.392000		
11.001000	-649.082000		
11.501000	-649.436000		
12.001000	-649.710000		
12.501000	-650.018000		
13.001000	-650.404000		
13.501000	-650.294000		
14.000000	-650.492000		
14.501000	-650.625000		
15.001000	-651.410000		
15.501000	-651.828000		
16.001000	-651.789000		
16.501000	-651.838000		
17.001000	-651.747000		
17.501000	-652.166000		
18.001000	-652.419000		
18.501000	-652.612000		
19.001000	-653.288000		
19.501000	-653.542000		
20.000000	-653.686000		
20.501000	-653.530000		
21.001000	-653.959000		
21.501000	-654.080000		
22.001000	-654.505000		
22.501000	-654.357000		
23.001000	-654.742000		
23.500000	-655.118000		
24.001000	-655.652000		
24.501000	-655.648000		
25.001000	-655.433000		
25.501000	-655.863000		
26.001000	-655.796000		
26.500000	-656.067000		
27.001000	-655.983000		
27.501000	-656.185000		
28.001000	-656.714000		
28.501000	-656.946000		
29.001000	-657.094000		
29.501000	-656.942000		
30.001000	-657.283000		
30.501000	-657.578000		
31.001000	-657.364000		
31.501000	-657.531000		
32.001000	-657.591000		
32.501000	-657.912000		
33.001000	-657.898000		
33.501000	-658.024000		
34.001000	-657.992000		
34.501000	-658.091000		
35.001000	-658.574000		
35.501000	-658.547000		
36.001000	-658.355000		
36.501000	-658.214000		
37.001000	-658.396000		
37.501000	-658.265000		
38.001000	-658.665000		
38.501000	-658.940000		
39.001000	-659.078000		
39.501000	-658.865000		
40.001000	-658.889000		
40.501000	-659.197000		
41.001000	-659.396000		
41.501000	-659.274000		
42.001000	-659.526000		
42.501000	-659.373000		
43.001000	-659.406000		
43.501000	-659.531000		
44.001000	-659.527000		
44.501000	-659.426000		
45.001000	-659.820000		
45.501000	-659.727000		
46.001000	-659.730000		
46.501000	-659.644000		
47.001000	-660.041000		
47.501000	-660.043000		
48.001000	-659.936000		
48.501000	-659.902000		
49.001000	-659.960000		
49.501000	-659.964000		
50.001000	-660.293000		
50.501000	-660.106000		
51.001000	-659.996000		
51.501000	-660.089000		
52.001000	-660.637000		
52.501000	-660.783000		
53.001000	-660.459000		
53.501000	-660.562000		
54.001000	-660.652000		
54.501000	-660.392000		
55.001000	-660.372000		
55.501000	-660.720000		
56.001000	-661.124000		
56.501000	-660.871000		
57.001000	-660.788000		
57.501000	-661.016000		
58.001000	-661.084000		
58.501000	-661.076000		
59.001000	-661.177000		
59.501000	-661.063000		
60.001000	-661.077000		
60.501000	-661.271000		
61.001000	-661.245000		
61.501000	-661.536000		
62.001000	-661.548000		
62.501000	-661.398000		
63.001000	-661.420000		
63.501000	-661.651000		
64.001000	-661.923000		
64.501000	-662.031000		
65.001000	-662.121000		
65.501000	-662.056000		
66.001000	-661.758000		
66.501000	-662.215000		
67.001000	-662.623000		
67.501000	-662.385000		
68.001000	-662.438000		
68.501000	-662.375000		
69.001000	-662.400000		
69.501000	-662.703000		
70.001000	-662.959000		
70.501000	-662.896000		
71.001000	-662.558000		
71.501000	-662.513000		
72.001000	-662.900000		
72.501000	-662.828000		
73.001000	-662.517000		
73.501000	-662.385000		
74.001000	-662.865000		
74.501000	-662.982000		
75.001000	-662.857000		
75.501000	-663.069000		
76.001000	-663.323000		
76.501000	-663.094000		
77.001000	-663.296000		
77.501000	-663.332000		
78.001000	-663.193000		
78.501000	-663.288000		
79.001000	-663.425000		
79.501000	-663.278000		
80.001000	-663.123000		
80.501000	-663.473000		
81.001000	-663.327000		
81.501000	-663.621000		
82.001000	-663.561000		
82.501000	-663.629000		
83.001000	-663.761000		
83.501000	-664.012000		
84.001000	-663.888000		
84.501000	-663.716000		
85.001000	-663.935000		
85.501000	-664.001000		
86.001000	-664.104000		
86.501000	-664.007000		
87.001000	-663.801000		
87.501000	-663.630000		
88.001000	-664.008000		
88.501000	-663.842000		
89.001000	-663.730000		
89.501000	-663.829000		
90.001000	-663.971000		
90.501000	-663.854000		
91.001000	-664.160000		
91.501000	-664.107000		
92.001000	-664.008000		
92.501000	-664.075000		
93.001000	-664.311000		
93.501000	-664.464000		
94.001000	-663.990000		
94.501000	-664.256000		
95.001000	-664.156000		
95.501000	-664.180000		
96.001000	-664.331000		
96.501000	-664.455000		
97.001000	-664.511000		
97.501000	-664.554000		
98.001000	-664.690000		
98.501000	-664.648000		
99.001000	-664.303000		
99.501000	-664.631000		
100.001000	-664.726000		
100.501000	-664.542000		
101.001000	-664.742000		
101.501000	-664.453000		
102.001000	-664.581000		
102.501000	-664.082000		
103.000000	-664.627000		
103.501000	-664.770000		
104.001000	-664.731000		
104.501000	-664.659000		
105.001000	-664.632000		
105.501000	-664.919000		
106.001000	-664.871000		
106.501000	-664.828000		
107.001000	-664.472000		
107.501000	-665.138000		
108.001000	-665.506000		
108.501000	-664.920000		
109.001000	-664.917000		
109.501000	-664.853000		
110.001000	-665.028000		
110.501000	-664.998000		
111.001000	-664.887000		
111.501000	-664.871000		
112.001000	-664.996000		
112.501000	-665.392000		
113.002000	-665.620000		
113.501000	-665.098000		
114.001000	-664.911000		
114.501000	-664.959000		
115.001000	-665.355000		
115.501000	-665.637000		
116.000000	-665.170000		
116.501000	-664.894000		
117.001000	-664.788000		
117.501000	-664.919000		
118.001000	-665.417000		
118.501000	-665.347000		
119.001000	-665.106000		
119.501000	-665.107000		
120.001000	-665.252000		
120.501000	-665.339000		
121.001000	-665.610000		
121.501000	-665.130000		
122.001000	-665.233000		
122.501000	-665.658000		
123.001000	-665.921000		
123.501000	-665.437000		
124.001000	-665.269000		
124.501000	-665.680000		
