Date:	Fri, Apr 04, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-649.163000		
0.500000	-649.031000		
1.000000	-649.167000		
1.501000	-649.151000		
2.000000	-648.951000		
2.501000	-649.198000		
3.000000	-649.354000		
3.500000	-649.306000		
4.000000	-649.282000		
4.500000	-649.275000		
5.001000	-649.125000		
5.500000	-648.962000		
6.001000	-649.590000		
6.500000	-649.629000		
7.001000	-649.612000		
7.500000	-649.574000		
8.001000	-649.291000		
8.500000	-649.228000		
9.000000	-649.412000		
9.501000	-649.549000		
10.000000	-649.528000		
10.501000	-649.367000		
11.001000	-649.432000		
11.501000	-649.414000		
12.001000	-649.137000		
12.501000	-649.330000		
13.001000	-649.550000		
13.501000	-649.703000		
14.001000	-649.831000		
14.501000	-704.604000		
15.001000	-1112.831000		
15.501000	-1194.338000		
16.001000	-1201.707000		
16.501000	-1194.665000		
17.001000	-1193.269000		
17.501000	-1193.190000		
18.001000	-1193.284000		
18.501000	-1193.051000		
19.001000	-1192.837000		
19.501000	-1193.211000		
20.001000	-1192.875000		
20.501000	-1192.649000		
21.001000	-1192.846000		
21.501000	-1193.051000		
22.001000	-1192.869000		
22.501000	-1192.395000		
23.001000	-1192.322000		
23.501000	-1192.366000		
24.001000	-1191.742000		
24.501000	-1191.404000		
25.001000	-1191.694000		
25.501000	-1191.841000		
26.001000	-1191.693000		
26.501000	-1191.320000		
27.001000	-1191.574000		
27.501000	-1191.430000		
28.001000	-1191.220000		
28.501000	-1191.135000		
29.001000	-1191.014000		
29.501000	-1191.372000		
30.001000	-1190.911000		
30.501000	-1190.892000		
31.001000	-1190.915000		
31.501000	-1190.803000		
32.001000	-1183.696000		
32.501000	-1146.742000		
33.001000	-1060.897000		
33.501000	-887.918000		
34.001000	-770.118000		
34.501000	-708.402000		
