Date:	Fri, Apr 04, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-626.425000		
0.501000	-626.399000		
1.001000	-626.339000		
1.500000	-626.327000		
2.001000	-626.403000		
2.500000	-626.499000		
3.001000	-626.358000		
3.501000	-626.250000		
4.000000	-626.324000		
4.501000	-626.168000		
5.000000	-626.472000		
5.501000	-626.437000		
6.000000	-626.176000		
6.501000	-626.234000		
7.000000	-626.498000		
7.500000	-626.581000		
8.000000	-626.579000		
8.500000	-626.384000		
9.001000	-626.353000		
9.500000	-626.568000		
10.001000	-626.642000		
10.500000	-626.626000		
11.000000	-626.662000		
11.501000	-626.866000		
12.001000	-626.649000		
12.501000	-626.661000		
13.001000	-626.391000		
13.501000	-626.511000		
14.001000	-626.629000		
14.501000	-626.809000		
15.001000	-626.658000		
15.501000	-626.762000		
16.001000	-626.642000		
16.501000	-626.687000		
17.001000	-626.713000		
17.501000	-626.705000		
18.001000	-626.771000		
18.501000	-627.100000		
19.001000	-627.021000		
19.501000	-626.791000		
20.001000	-626.580000		
20.501000	-626.735000		
21.001000	-626.999000		
21.501000	-626.883000		
22.001000	-626.889000		
22.501000	-627.075000		
23.001000	-626.979000		
23.501000	-626.832000		
24.001000	-627.001000		
24.501000	-626.817000		
25.001000	-627.009000		
25.501000	-627.334000		
26.001000	-627.118000		
26.501000	-626.819000		
27.001000	-626.685000		
27.501000	-626.986000		
28.001000	-627.303000		
28.501000	-627.306000		
29.001000	-627.277000		
29.501000	-627.452000		
30.001000	-627.258000		
30.501000	-627.238000		
31.001000	-627.204000		
31.501000	-627.413000		
32.001000	-627.716000		
32.501000	-627.749000		
33.001000	-627.559000		
33.501000	-627.411000		
34.001000	-627.569000		
34.501000	-627.423000		
35.000000	-627.417000		
35.501000	-627.828000		
36.000000	-627.864000		
36.501000	-627.756000		
37.000000	-627.851000		
37.501000	-627.842000		
38.000000	-627.506000		
38.501000	-627.345000		
39.000000	-627.570000		
39.500000	-627.658000		
40.000000	-627.659000		
40.500000	-627.464000		
41.001000	-627.615000		
41.500000	-627.632000		
42.001000	-627.547000		
42.500000	-627.791000		
43.000000	-628.186000		
43.500000	-627.876000		
44.000000	-628.170000		
44.501000	-628.093000		
45.000000	-627.524000		
45.500000	-627.813000		
46.001000	-628.078000		
46.501000	-627.905000		
47.001000	-628.113000		
47.501000	-627.755000		
48.001000	-627.584000		
48.501000	-627.719000		
49.001000	-627.791000		
49.501000	-628.103000		
50.001000	-628.207000		
50.501000	-628.124000		
51.001000	-627.942000		
51.501000	-627.853000		
52.001000	-627.862000		
52.501000	-627.979000		
53.001000	-627.900000		
53.501000	-628.219000		
54.001000	-628.305000		
54.501000	-628.114000		
55.001000	-627.959000		
55.501000	-628.186000		
56.001000	-628.512000		
56.501000	-628.458000		
57.001000	-628.184000		
57.501000	-628.080000		
58.001000	-628.242000		
58.501000	-628.296000		
59.001000	-628.310000		
59.501000	-628.727000		
60.001000	-628.648000		
60.501000	-628.502000		
61.001000	-628.275000		
61.501000	-628.351000		
62.001000	-628.206000		
62.501000	-628.412000		
63.001000	-628.759000		
63.501000	-628.908000		
64.001000	-628.962000		
64.501000	-628.179000		
65.001000	-628.375000		
65.501000	-628.437000		
66.001000	-628.570000		
66.501000	-628.818000		
67.001000	-628.775000		
67.501000	-628.708000		
68.001000	-628.735000		
68.501000	-628.829000		
69.001000	-628.883000		
69.501000	-629.051000		
70.001000	-628.886000		
70.501000	-628.779000		
71.001000	-628.683000		
71.501000	-628.631000		
72.001000	-628.515000		
72.501000	-628.549000		
73.001000	-628.719000		
73.501000	-628.817000		
74.001000	-628.737000		
74.501000	-628.660000		
75.001000	-628.753000		
75.501000	-628.989000		
76.001000	-628.779000		
76.501000	-629.009000		
77.001000	-628.798000		
77.501000	-628.909000		
78.001000	-628.824000		
78.501000	-628.616000		
79.001000	-629.264000		
79.501000	-628.963000		
80.001000	-629.344000		
80.501000	-629.040000		
81.001000	-628.660000		
81.501000	-628.902000		
82.001000	-629.260000		
82.501000	-884.253000		
83.001000	-1155.092000		
83.501000	-1184.528000		
84.001000	-1176.728000		
84.501000	-1173.624000		
85.001000	-1173.578000		
85.501000	-1173.953000		
86.001000	-1174.281000		
86.501000	-1174.110000		
87.001000	-1173.963000		
87.501000	-1173.760000		
88.001000	-1173.817000		
88.501000	-1173.953000		
89.001000	-1173.875000		
89.501000	-1173.686000		
90.001000	-1173.974000		
90.501000	-1173.478000		
91.001000	-1173.034000		
91.501000	-1173.352000		
92.001000	-1173.209000		
92.501000	-1173.128000		
93.001000	-1173.044000		
93.501000	-1173.499000		
94.001000	-1173.584000		
94.501000	-1173.386000		
95.001000	-1172.908000		
95.501000	-1172.619000		
96.001000	-1172.470000		
96.501000	-1172.423000		
97.001000	-1172.606000		
97.501000	-1172.421000		
98.001000	-1172.643000		
98.501000	-1172.324000		
99.001000	-1171.944000		
99.501000	-1172.511000		
100.001000	-1172.605000		
100.501000	-1172.028000		
101.001000	-1171.800000		
101.501000	-1171.793000		
102.001000	-1171.818000		
102.501000	-1171.520000		
103.001000	-1171.754000		
103.501000	-1171.733000		
104.001000	-1171.206000		
104.501000	-1171.126000		
105.001000	-1171.236000		
105.501000	-1171.102000		
106.001000	-1170.967000		
106.501000	-1170.974000		
107.001000	-1171.078000		
107.501000	-1143.443000		
108.001000	-753.084000		
108.501000	-624.933000		
109.001000	-618.196000		
109.501000	-625.147000		
110.001000	-626.802000		
110.501000	-626.517000		
111.001000	-625.989000		
111.501000	-626.220000		
112.001000	-626.378000		
112.501000	-626.509000		
113.001000	-626.440000		
113.501000	-626.263000		
114.001000	-626.094000		
114.501000	-626.012000		
115.001000	-626.210000		
115.501000	-625.896000		
116.001000	-625.582000		
116.501000	-625.650000		
117.001000	-625.897000		
117.501000	-625.755000		
118.001000	-625.964000		
118.501000	-626.235000		
119.001000	-625.952000		
119.501000	-625.815000		
120.001000	-625.728000		
120.501000	-625.608000		
121.001000	-625.630000		
121.501000	-626.022000		
122.001000	-626.208000		
122.501000	-626.273000		
123.001000	-625.901000		
123.501000	-625.622000		
124.001000	-625.673000		
124.501000	-625.826000		
125.001000	-625.741000		
125.501000	-625.781000		
126.001000	-626.138000		
126.501000	-626.212000		
127.001000	-625.883000		
127.501000	-625.793000		
128.001000	-625.863000		
128.501000	-625.539000		
129.001000	-625.676000		
129.501000	-625.958000		
130.001000	-625.854000		
130.501000	-625.962000		
131.001000	-625.898000		
131.501000	-625.591000		
132.001000	-625.796000		
132.501000	-625.796000		
133.001000	-1053.515000		
133.501000	-1175.478000		
134.001000	-1180.026000		
134.501000	-1171.909000		
135.001000	-1170.233000		
135.501000	-1170.013000		
136.001000	-1170.533000		
136.501000	-1170.574000		
137.001000	-1170.448000		
137.501000	-1170.445000		
138.001000	-1170.677000		
138.501000	-1170.541000		
139.001000	-1170.296000		
139.501000	-1170.434000		
140.001000	-1170.221000		
140.501000	-1170.340000		
141.001000	-1170.177000		
141.501000	-1170.009000		
142.001000	-1169.833000		
142.501000	-1169.669000		
143.001000	-1170.124000		
143.501000	-1169.839000		
144.001000	-1169.790000		
144.501000	-1169.576000		
145.001000	-1169.479000		
145.501000	-1169.452000		
146.001000	-1169.330000		
146.501000	-1168.987000		
147.001000	-1168.822000		
147.501000	-1168.911000		
148.001000	-1168.821000		
148.501000	-1168.544000		
149.001000	-1168.493000		
149.501000	-1168.405000		
150.001000	-1168.696000		
150.501000	-1168.746000		
151.001000	-1168.692000		
151.501000	-1168.475000		
152.001000	-1168.352000		
152.501000	-1168.159000		
153.001000	-1168.214000		
153.501000	-1168.289000		
154.001000	-1168.424000		
154.501000	-1168.052000		
155.001000	-1167.493000		
155.501000	-1167.581000		
156.001000	-1167.587000		
156.501000	-1167.844000		
157.001000	-1167.659000		
157.501000	-1166.938000		
158.001000	-1167.201000		
158.501000	-1167.201000		
159.001000	-1167.039000		
159.501000	-1167.055000		
160.001000	-1167.125000		
160.501000	-1166.862000		
161.001000	-1166.491000		
161.501000	-1166.670000		
162.001000	-790.931000		
162.501000	-631.871000		
163.001000	-612.144000		
163.501000	-619.796000		
164.001000	-622.886000		
164.501000	-623.098000		
165.001000	-622.638000		
165.501000	-622.038000		
166.001000	-622.217000		
166.501000	-622.394000		
167.001000	-622.084000		
167.501000	-621.900000		
168.001000	-621.846000		
168.501000	-621.763000		
169.001000	-621.967000		
169.501000	-622.079000		
170.001000	-621.939000		
170.501000	-622.038000		
171.001000	-622.121000		
171.501000	-622.100000		
172.001000	-622.014000		
172.501000	-621.749000		
173.001000	-621.857000		
173.501000	-621.854000		
174.001000	-622.069000		
174.501000	-621.998000		
175.001000	-621.994000		
175.501000	-621.790000		
176.001000	-621.756000		
176.501000	-622.170000		
177.001000	-622.193000		
177.501000	-621.982000		
178.001000	-622.093000		
178.501000	-621.553000		
179.001000	-621.734000		
179.501000	-621.813000		
180.001000	-621.864000		
180.501000	-622.136000		
181.001000	-622.183000		
181.501000	-622.110000		
182.001000	-622.026000		
182.501000	-621.973000		
183.001000	-622.209000		
183.501000	-621.787000		
184.001000	-621.645000		
184.501000	-621.618000		
185.001000	-622.019000		
185.501000	-622.224000		
186.001000	-622.079000		
186.501000	-621.953000		
187.001000	-621.593000		
187.501000	-621.683000		
188.001000	-621.806000		
188.501000	-622.088000		
189.001000	-622.034000		
189.501000	-621.950000		
190.001000	-622.094000		
190.501000	-995.559000		
191.001000	-1171.564000		
191.501000	-1177.116000		
192.001000	-1168.849000		
192.501000	-1166.368000		
193.001000	-1166.662000		
193.501000	-1166.594000		
194.001000	-1166.977000		
194.501000	-1167.038000		
195.001000	-1167.102000		
195.501000	-1167.037000		
196.001000	-1166.829000		
196.501000	-1166.916000		
197.001000	-1166.792000		
197.501000	-1166.555000		
198.001000	-1166.604000		
198.501000	-1166.411000		
199.001000	-1166.082000		
199.501000	-1166.357000		
200.001000	-1166.329000		
200.501000	-1166.258000		
201.001000	-1166.165000		
201.501000	-1165.817000		
202.001000	-1166.242000		
202.501000	-1166.231000		
203.001000	-1166.074000		
203.501000	-1166.120000		
204.001000	-1166.072000		
204.501000	-1166.157000		
205.001000	-1165.584000		
205.501000	-1165.280000		
206.001000	-1165.551000		
206.501000	-1165.222000		
207.001000	-1164.916000		
207.501000	-1164.837000		
208.001000	-1164.753000		
208.501000	-1164.825000		
209.001000	-1165.051000		
209.501000	-1164.862000		
210.001000	-1164.616000		
210.501000	-1164.752000		
211.001000	-1164.858000		
211.501000	-1164.549000		
212.001000	-1164.339000		
212.501000	-1164.616000		
213.001000	-1164.366000		
213.501000	-1164.256000		
214.001000	-1164.320000		
214.501000	-1164.273000		
215.001000	-1164.284000		
215.501000	-1164.176000		
216.001000	-1164.223000		
216.501000	-1164.245000		
217.001000	-1164.152000		
217.501000	-1163.938000		
218.001000	-1163.839000		
218.501000	-1163.929000		
219.001000	-1163.681000		
219.501000	-1163.574000		
220.001000	-1163.852000		
220.501000	-1163.410000		
221.001000	-1163.561000		
221.501000	-1163.278000		
222.001000	-1163.401000		
222.501000	-1163.430000		
223.001000	-1162.905000		
223.501000	-1162.860000		
224.001000	-1014.598000		
224.501000	-674.186000		
225.001000	-612.247000		
225.501000	-612.819000		
226.001000	-618.205000		
226.501000	-618.946000		
227.001000	-618.566000		
227.501000	-618.180000		
228.001000	-618.202000		
228.501000	-618.580000		
229.001000	-618.658000		
229.501000	-618.255000		
230.001000	-617.972000		
230.501000	-617.881000		
231.001000	-617.729000		
231.501000	-618.203000		
232.001000	-617.998000		
232.501000	-617.990000		
233.001000	-617.840000		
233.501000	-618.300000		
234.001000	-618.357000		
234.501000	-618.357000		
235.001000	-618.436000		
235.501000	-618.245000		
236.001000	-618.069000		
236.501000	-617.996000		
237.001000	-617.938000		
237.501000	-618.256000		
238.001000	-618.328000		
238.501000	-617.998000		
