Date:	Tue, Feb 11, 2014		
measured by:	Rotem		
Methyl-Styrene Sample I pre-pole, prepared 10-11.02 over night			
Time [s]	CPD stream	Light	SPV
0.000000	-1066.783000		
0.500000	-1066.526000		
1.000000	-1066.571000		
1.500000	-1066.368000		
2.000000	-1066.253000		
2.500000	-1065.909000		
3.000000	-1065.892000		
3.500000	-1065.466000		
4.000000	-1065.441000		
4.500000	-1065.518000		
5.000000	-1065.271000		
5.500000	-1064.929000		
6.000000	-1064.377000		
6.500000	-1063.870000		
7.000000	-1063.546000		
7.500000	-1063.582000		
8.000000	-1062.672000		
8.500000	-1061.843000		
9.000000	-1061.567000		
9.500000	-1061.239000		
10.000000	-1061.076000		
10.500000	-1060.916000		
11.000000	-1060.645000		
11.500000	-1060.738000		
12.000000	-1060.166000		
12.500000	-1059.820000		
13.000000	-1059.739000		
13.500000	-1059.713000		
14.000000	-1060.003000		
14.500000	-1059.641000		
15.000000	-1059.334000		
15.500000	-1059.580000		
16.000000	-1059.391000		
16.500000	-1059.334000		
17.000000	-1059.285000		
17.500000	-1059.267000		
18.000000	-1058.688000		
18.500000	-1058.699000		
19.000000	-1058.522000		
19.500000	-1058.342000		
20.000000	-1058.541000		
20.500000	-1058.384000		
21.000000	-1058.568000		
21.500000	-1058.636000		
22.000000	-1058.029000		
22.500000	-1058.330000		
23.000000	-1058.104000		
23.500000	-1058.185000		
24.000000	-1057.786000		
24.500000	-1057.936000		
25.000000	-1057.752000		
25.500000	-1057.398000		
26.000000	-1057.239000		
26.500000	-1056.793000		
27.000000	-1056.675000		
27.500000	-1056.682000		
28.000000	-1056.610000		
28.500000	-1056.521000		
29.000000	-1056.218000		
29.500000	-1056.248000		
30.000000	-1056.453000		
30.500000	-1056.432000		
31.000000	-1056.152000		
31.500000	-1056.250000		
32.000000	-1056.271000		
32.500000	-1056.063000		
33.000000	-1056.343000		
33.500000	-1056.026000		
34.000000	-1055.866000		
34.500000	-1055.498000		
35.000000	-1055.176000		
35.500000	-1055.248000		
36.000000	-1055.521000		
36.500000	-1055.458000		
37.000000	-1055.082000		
37.500000	-1055.065000		
38.000000	-1054.930000		
38.500000	-1054.986000		
39.000000	-1055.030000		
39.500000	-1055.132000		
40.000000	-1054.994000		
40.500000	-1054.760000		
41.000000	-1054.563000		
41.500000	-1054.637000		
42.000000	-1054.582000		
42.500000	-1054.224000		
43.000000	-1054.199000		
43.500000	-1054.345000		
44.000000	-1054.395000		
44.500000	-1054.450000		
45.000000	-1054.338000		
45.500000	-1053.990000		
46.000000	-1053.835000		
46.500000	-1053.644000		
47.000000	-1053.919000		
47.500000	-1054.428000		
48.000000	-1054.431000		
48.500000	-1054.212000		
49.000000	-1054.134000		
49.500000	-1053.917000		
50.000000	-1053.441000		
50.500000	-1053.043000		
51.000000	-1053.052000		
51.500000	-1053.325000		
52.000000	-1053.557000		
52.500000	-1053.551000		
53.000000	-1053.306000		
53.500000	-1053.342000		
54.000000	-1053.676000		
54.500000	-1053.857000		
55.000000	-1053.394000		
55.500000	-1053.227000		
56.000000	-1053.259000		
56.500000	-1053.161000		
57.000000	-1053.022000		
57.500000	-1053.016000		
58.000000	-1053.054000		
