Date:	Tue, Feb 11, 2014		
measured by:	Rotem		
Methyl-Styrene Sample II pre-pole, prepared 10-11.02 over night			
Time [s]	CPD stream	Light	SPV
0.000000	-1086.025000		
0.500000	-1085.999000		
1.000000	-1086.051000		
1.500000	-1085.816000		
2.000000	-1085.814000		
2.500000	-1085.695000		
3.000000	-1085.434000		
3.500000	-1085.213000		
4.000000	-1085.368000		
4.500000	-1084.968000		
5.000000	-1084.659000		
5.500000	-1084.234000		
6.000000	-1084.036000		
6.500000	-1083.922000		
7.000000	-1083.888000		
7.500000	-1083.374000		
8.000000	-1083.103000		
8.500000	-1082.862000		
9.000000	-1082.569000		
9.500000	-1082.759000		
10.000000	-1082.588000		
10.500000	-1082.561000		
11.000000	-1082.473000		
11.500000	-1082.057000		
12.000000	-1081.674000		
12.500000	-1081.541000		
13.000000	-1081.478000		
13.500000	-1081.434000		
14.000000	-1081.324000		
14.500000	-1081.546000		
15.000000	-1081.130000		
15.500000	-1081.046000		
16.000000	-1081.020000		
16.500000	-1080.879000		
17.000000	-1080.543000		
17.500000	-1080.202000		
18.000000	-1080.294000		
18.500000	-1080.354000		
19.000000	-1080.236000		
19.500000	-1080.310000		
20.000000	-1080.312000		
20.500000	-1079.911000		
21.000000	-1079.850000		
21.500000	-1079.812000		
22.000000	-1079.709000		
22.500000	-1079.707000		
23.000000	-1079.699000		
23.500000	-1079.489000		
24.000000	-1079.394000		
24.500000	-1079.326000		
25.000000	-1079.252000		
25.500000	-1078.983000		
26.000000	-1079.103000		
26.500000	-1079.071000		
27.000000	-1078.947000		
27.500000	-1079.176000		
28.000000	-1078.782000		
28.500000	-1078.478000		
29.000000	-1078.270000		
29.500000	-1078.370000		
30.000000	-1078.429000		
30.500000	-1078.202000		
31.000000	-1078.051000		
31.500000	-1077.935000		
32.000000	-1077.691000		
32.500000	-1077.607000		
33.000000	-1077.696000		
33.500000	-1077.714000		
34.000000	-1077.773000		
34.500000	-1077.626000		
35.000000	-1077.300000		
35.500000	-1077.441000		
36.000000	-1077.376000		
36.500000	-1077.490000		
37.000000	-1077.245000		
37.500000	-1077.139000		
38.000000	-1077.012000		
38.500000	-1077.231000		
39.000000	-1077.121000		
39.500000	-1076.808000		
40.000000	-1076.823000		
40.500000	-1076.622000		
41.000000	-1076.755000		
41.500000	-1076.976000		
42.000000	-1076.603000		
42.500000	-1076.592000		
43.000000	-1076.231000		
