Date:	Thu, Nov 07, 2013		
measured by:	Rotem		
SiH			
Time [s]	CPD stream	Light	SPV
0.000000	-602.222000		
0.500000	-602.221000		
1.000000	-602.238000		
1.500000	-602.168000		
1.999000	-602.331000		
2.500000	-602.348000		
2.999000	-602.342000		
3.500000	-601.992000		
3.999000	-602.060000		
4.500000	-601.725000		
4.999000	-601.448000		
5.500000	-601.082000		
6.000000	-600.919000		
6.500000	-600.939000		
7.000000	-600.456000		
7.500000	-600.416000		
8.000000	-600.194000		
8.500000	-600.113000		
8.999000	-599.758000		
9.500000	-599.350000		
9.999000	-599.525000		
10.499000	-599.444000		
11.000000	-599.031000		
11.500000	-598.951000		
12.000000	-598.845000		
12.500000	-598.742000		
13.000000	-598.176000		
13.500000	-598.115000		
14.000000	-598.009000		
14.500000	-597.893000		
15.000000	-597.934000		
15.500000	-597.811000		
16.000000	-597.386000		
16.500000	-597.711000		
17.000000	-597.506000		
17.500000	-597.306000		
18.000000	-597.279000		
18.500000	-597.269000		
19.000000	-597.237000		
19.500000	-597.048000		
20.000000	-596.991000		
20.500000	-596.821000		
21.000000	-596.793000		
21.500000	-596.578000		
22.000000	-596.462000		
22.500000	-596.549000		
23.000000	-596.318000		
23.500000	-596.377000		
24.000000	-596.297000		
24.500000	-596.000000		
25.000000	-595.799000		
25.500000	-595.845000		
26.000000	-595.892000		
26.500000	-595.585000		
27.000000	-595.649000		
27.500000	-595.451000		
28.000000	-595.498000		
28.500000	-595.423000		
29.000000	-595.252000		
29.500000	-595.170000		
30.000000	-595.174000		
30.500000	-595.310000		
31.000000	-594.983000		
31.500000	-595.011000		
32.000000	-595.149000		
32.500000	-594.781000		
33.000000	-594.920000		
33.500000	-594.785000		
34.000000	-594.712000		
34.500000	-594.779000		
35.000000	-594.634000		
35.500000	-594.574000		
36.000000	-594.558000		
36.500000	-594.638000		
37.000000	-594.665000		
37.500000	-594.538000		
38.000000	-594.615000		
38.500000	-594.411000		
39.000000	-594.379000		
39.500000	-594.128000		
40.000000	-594.270000		
40.500000	-594.025000		
41.000000	-593.994000		
41.500000	-593.883000		
42.000000	-593.977000		
42.500000	-594.175000		
43.000000	-593.798000		
43.500000	-593.663000		
44.000000	-593.785000		
44.500000	-593.869000		
45.000000	-593.687000		
45.500000	-593.261000		
46.000000	-593.637000		
46.500000	-593.531000		
47.000000	-593.451000		
47.500000	-593.294000		
48.000000	-593.268000		
48.500000	-593.419000		
49.000000	-593.139000		
49.500000	-593.245000		
50.000000	-593.324000		
50.500000	-593.112000		
51.000000	-593.270000		
51.500000	-593.155000		
52.000000	-593.215000		
52.500000	-593.207000		
53.000000	-593.289000		
