Date:	Thu, Dec 12, 2013		
measured by:	Rotem		
HOPG, stable-ish at t>250s			
Time [s]	CPD stream	Light	SPV
0.000000	-339.891000		
0.500000	-340.106000		
1.000000	-339.938000		
1.501000	-339.928000		
2.000000	-339.837000		
2.501000	-340.158000		
3.000000	-339.764000		
3.501000	-340.050000		
4.000000	-339.891000		
4.501000	-339.826000		
5.000000	-339.816000		
5.501000	-340.147000		
6.001000	-340.298000		
6.501000	-340.211000		
7.001000	-340.269000		
7.500000	-340.533000		
8.001000	-340.293000		
8.500000	-340.086000		
9.001000	-340.085000		
9.500000	-340.329000		
10.001000	-340.344000		
10.500000	-340.686000		
11.001000	-340.645000		
11.501000	-340.554000		
12.001000	-340.544000		
12.501000	-340.612000		
13.001000	-340.806000		
13.501000	-340.772000		
14.001000	-340.507000		
14.501000	-340.464000		
15.001000	-340.485000		
15.501000	-340.623000		
16.001000	-340.773000		
16.501000	-340.854000		
17.001000	-340.852000		
17.501000	-340.682000		
18.001000	-340.647000		
18.501000	-340.896000		
19.001000	-341.117000		
19.501000	-341.108000		
20.001000	-341.375000		
20.501000	-341.195000		
21.001000	-340.993000		
21.501000	-340.710000		
22.001000	-340.988000		
22.501000	-341.211000		
23.001000	-341.126000		
23.501000	-340.941000		
24.001000	-340.993000		
24.501000	-340.925000		
25.001000	-341.014000		
25.501000	-341.321000		
26.001000	-341.459000		
26.501000	-341.135000		
27.001000	-341.285000		
27.501000	-341.380000		
28.001000	-341.356000		
28.501000	-341.282000		
29.001000	-341.268000		
29.501000	-341.345000		
30.001000	-340.864000		
30.501000	-341.364000		
31.001000	-341.385000		
31.501000	-341.180000		
32.001000	-341.290000		
32.501000	-341.416000		
33.001000	-341.215000		
33.501000	-341.287000		
34.001000	-341.412000		
34.501000	-341.179000		
35.001000	-341.538000		
35.501000	-342.049000		
36.001000	-341.557000		
36.501000	-341.129000		
37.001000	-341.250000		
37.501000	-341.398000		
38.001000	-341.423000		
38.501000	-341.833000		
39.001000	-341.847000		
39.501000	-342.108000		
40.001000	-341.894000		
40.501000	-341.890000		
41.001000	-341.779000		
41.501000	-341.980000		
42.001000	-341.879000		
42.501000	-341.890000		
43.001000	-341.809000		
43.501000	-341.919000		
44.001000	-341.879000		
44.501000	-342.197000		
45.001000	-342.241000		
45.501000	-341.995000		
46.001000	-341.967000		
46.501000	-341.830000		
47.001000	-341.553000		
47.501000	-341.779000		
48.001000	-341.562000		
48.501000	-341.653000		
49.001000	-341.989000		
49.501000	-342.183000		
50.001000	-342.033000		
50.501000	-341.762000		
51.001000	-341.891000		
51.501000	-342.327000		
52.001000	-342.438000		
52.501000	-342.650000		
53.001000	-342.809000		
53.501000	-342.869000		
54.001000	-342.692000		
54.501000	-342.579000		
55.001000	-343.126000		
55.501000	-343.304000		
56.001000	-342.852000		
56.501000	-343.120000		
57.001000	-343.145000		
57.501000	-343.304000		
58.001000	-342.960000		
58.501000	-342.702000		
59.001000	-342.446000		
59.501000	-342.415000		
60.001000	-342.658000		
60.501000	-342.767000		
61.001000	-342.271000		
61.501000	-342.668000		
62.001000	-342.705000		
62.501000	-342.587000		
63.001000	-342.877000		
63.501000	-343.484000		
64.001000	-343.543000		
64.501000	-343.218000		
65.001000	-342.886000		
65.501000	-342.841000		
66.001000	-343.121000		
66.501000	-343.226000		
67.001000	-342.899000		
67.501000	-343.132000		
68.001000	-343.429000		
68.501000	-343.284000		
69.001000	-343.214000		
69.501000	-343.357000		
70.001000	-343.280000		
70.501000	-342.772000		
71.001000	-342.427000		
71.501000	-342.778000		
72.001000	-343.153000		
72.501000	-343.527000		
73.001000	-343.611000		
73.501000	-343.660000		
74.001000	-343.596000		
74.501000	-343.271000		
75.001000	-343.461000		
75.501000	-343.483000		
76.001000	-343.094000		
76.501000	-343.063000		
77.001000	-343.171000		
77.501000	-343.833000		
78.001000	-343.617000		
78.501000	-343.552000		
79.001000	-343.543000		
79.501000	-343.753000		
80.001000	-343.370000		
80.501000	-343.384000		
81.001000	-343.573000		
81.501000	-343.721000		
82.001000	-343.853000		
82.501000	-343.768000		
83.001000	-343.779000		
83.501000	-344.065000		
84.001000	-344.154000		
84.501000	-344.104000		
85.001000	-343.813000		
85.501000	-343.807000		
86.001000	-343.665000		
86.501000	-343.623000		
87.001000	-343.817000		
87.501000	-343.730000		
88.001000	-343.629000		
88.501000	-343.501000		
89.001000	-343.959000		
89.501000	-343.951000		
