Date:	Thu, Dec 12, 2013		
measured by:	Rotem		
SiH-AlO3 CPD SPV			
Time [s]	CPD stream	Light	SPV
0.000000	-576.191000		
0.499000	-576.188000		
0.999000	-576.099000		
1.499000	-576.181000		
1.999000	-576.475000		
2.500000	-576.780000		
2.999000	-576.828000		
3.500000	-576.713000		
3.999000	-576.526000		
4.500000	-576.806000		
4.999000	-577.003000		
5.500000	-576.690000		
6.000000	-576.666000		
6.499000	-576.853000		
7.000000	-576.964000		
7.499000	-577.206000		
8.000000	-577.248000		
8.499000	-576.895000		
9.000000	-576.679000		
9.500000	-576.748000		
9.999000	-576.822000		
10.499000	-576.995000		
11.000000	-577.172000		
11.500000	-576.770000		
12.000000	-576.812000		
12.500000	-576.900000		
13.000000	-576.707000		
13.499000	-576.487000		
14.000000	-576.701000		
14.500000	-576.564000		
15.000000	-576.503000		
15.500000	-576.620000		
16.000000	-576.608000		
16.500000	-576.347000		
17.000000	-576.145000		
17.500000	-576.443000		
18.000000	-576.792000		
18.500000	-576.666000		
19.000000	-576.706000		
19.500000	-576.724000		
19.999000	-576.596000		
20.499000	-576.606000		
20.999000	-576.634000		
21.499000	-576.561000		
21.999000	-576.680000		
22.499000	-577.096000		
22.999000	-577.143000		
23.499000	-576.593000		
23.999000	-576.633000		
24.499000	-576.879000		
24.999000	-576.589000		
25.499000	-576.427000		
25.999000	-576.935000		
26.500000	-576.878000		
27.000000	-577.134000		
27.500000	-577.114000		
28.000000	-577.428000		
28.500000	-577.282000		
29.000000	-577.325000		
29.500000	-577.379000		
30.000000	-577.195000		
30.500000	-577.138000		
31.000000	-577.002000		
31.500000	-577.252000		
32.000000	-577.185000		
32.500000	-577.399000		
33.000000	-577.819000		
33.500000	-578.014000		
34.000000	-578.186000		
34.500000	-577.949000		
35.000000	-577.852000		
35.500000	-577.551000		
36.000000	-577.673000		
36.500000	-577.150000		
37.000000	-576.991000		
37.500000	-577.061000		
38.000000	-576.835000		
38.500000	-576.974000		
39.000000	-577.191000		
39.500000	-577.387000		
40.000000	-577.099000		
40.500000	-577.020000		
41.000000	-577.611000		
41.500000	-577.897000		
42.000000	-578.166000		
42.500000	-578.052000		
43.000000	-577.756000		
43.500000	-577.577000		
44.000000	-577.266000		
44.500000	-577.612000		
45.000000	-577.743000		
45.500000	-577.973000		
46.000000	-577.774000		
46.500000	-577.719000		
47.000000	-577.762000		
47.500000	-577.670000		
48.000000	-577.624000		
48.500000	-577.643000		
49.000000	-577.611000		
49.500000	-577.488000		
50.000000	-577.665000		
50.500000	-577.681000		
51.000000	-577.771000		
51.500000	-577.667000		
52.000000	-577.628000		
52.500000	-577.709000		
53.000000	-577.529000		
53.500000	-577.402000		
54.000000	-577.287000		
54.500000	-577.533000		
55.000000	-577.572000		
55.500000	-577.845000		
56.000000	-577.781000		
56.500000	-578.053000		
57.000000	-577.838000		
57.500000	-577.905000		
58.000000	-577.705000		
58.500000	-577.477000		
59.000000	-577.655000		
59.500000	-577.777000		
60.000000	-578.144000		
60.500000	-578.142000		
61.000000	-578.084000		
61.500000	-577.809000		
62.000000	-576.863000		
62.500000	-577.220000		
63.000000	-577.770000		
63.500000	-577.982000		
64.000000	-578.138000		
64.500000	-578.288000		
65.000000	-578.127000		
65.500000	-577.891000		
66.000000	-578.100000		
66.500000	-577.828000		
67.000000	-578.153000		
67.500000	-578.633000		
68.000000	-578.469000		
68.500000	-578.359000		
69.000000	-578.188000		
69.500000	-578.127000		
70.000000	-578.132000		
70.500000	-578.049000		
71.000000	-578.126000		
71.500000	-578.180000		
72.000000	-578.271000		
72.500000	-578.224000		
73.000000	-578.243000		
73.500000	-578.413000		
74.000000	-578.321000		
74.500000	-578.073000		
75.000000	-578.022000		
75.500000	-577.898000		
76.000000	-578.198000		
76.500000	-578.158000		
77.000000	-578.338000		
77.500000	-578.629000		
78.000000	-578.356000		
78.500000	-578.510000		
79.000000	-578.740000		
79.500000	-578.537000		
80.000000	-577.911000		
80.500000	-578.111000		
81.000000	-578.219000		
81.500000	-578.665000		
82.000000	-578.726000		
82.500000	-578.328000		
83.000000	-578.212000		
83.500000	-577.799000		
84.000000	-577.793000		
84.500000	-578.158000		
85.000000	-577.363000		
85.500000	-577.132000		
86.000000	-576.924000		
86.500000	-576.901000		
87.000000	-577.102000		
87.500000	-577.711000		
88.000000	-578.117000		
88.500000	-578.189000		
89.000000	-577.899000		
89.500000	-578.077000		
90.000000	-578.342000		
90.500000	-578.713000		
91.000000	-579.126000		
91.500000	-579.079000		
92.000000	-578.303000		
92.500000	-578.242000		
93.000000	-578.443000		
93.500000	-578.130000		
94.000000	-577.597000		
94.500000	-577.628000		
95.000000	-577.805000		
95.500000	-577.884000		
96.000000	-577.940000		
96.500000	-577.971000		
97.000000	-578.307000		
97.500000	-578.731000		
98.000000	-579.155000		
98.500000	-579.029000		
99.000000	-579.099000		
99.500000	-578.660000		
100.000000	-578.568000		
100.500000	-578.664000		
101.000000	-578.679000		
101.500000	-578.592000		
102.000000	-578.718000		
102.500000	-578.534000		
103.000000	-578.397000		
103.500000	-578.623000		
104.000000	-578.497000		
104.500000	-578.525000		
105.000000	-578.605000		
105.500000	-578.437000		
106.000000	-578.643000		
106.500000	-578.696000		
107.000000	-578.495000		
107.500000	-578.722000		
108.000000	-579.190000		
108.500000	-579.415000		
109.000000	-579.398000		
109.500000	-579.254000		
110.000000	-579.288000		
110.500000	-578.791000		
111.000000	-578.782000		
111.500000	-578.573000		
112.000000	-578.361000		
112.500000	-578.925000		
113.000000	-578.945000		
113.500000	-578.936000		
114.000000	-578.881000		
114.500000	-578.863000		
115.000000	-579.095000		
115.500000	-578.959000		
116.000000	-578.996000		
116.500000	-579.298000		
117.000000	-579.267000		
117.500000	-579.057000		
118.000000	-579.096000		
118.500000	-579.037000		
119.000000	-579.097000		
119.500000	-579.356000		
120.000000	-579.148000		
120.500000	-579.260000		
121.000000	-579.141000		
121.500000	-578.865000		
122.000000	-579.020000		
122.500000	-579.201000		
123.000000	-579.385000		
123.500000	-579.372000		
124.000000	-578.992000		
124.500000	-578.768000		
125.000000	-578.963000		
125.500000	-579.205000		
126.000000	-579.471000		
126.500000	-579.378000		
127.000000	-579.063000		
127.500000	-578.693000		
128.000000	-578.703000		
128.500000	-578.712000		
129.000000	-578.681000		
129.500000	-579.033000		
130.000000	-579.090000		
130.500000	-578.932000		
131.000000	-579.024000		
131.500000	-578.996000		
132.000000	-578.923000		
132.500000	-578.700000		
133.000000	-578.911000		
133.500000	-579.250000		
134.000000	-579.450000		
134.500000	-579.309000		
135.000000	-579.295000		
135.500000	-579.001000		
136.000000	-579.069000		
136.500000	-579.060000		
137.000000	-579.357000		
137.500000	-579.479000		
138.000000	-579.106000		
138.500000	-578.992000		
139.000000	-579.316000		
139.500000	-579.442000		
140.000000	-579.317000		
140.500000	-579.347000		
141.000000	-579.610000		
141.500000	-579.485000		
142.000000	-579.376000		
142.500000	-579.396000		
143.000000	-579.190000		
143.500000	-578.993000		
144.000000	-579.097000		
144.500000	-578.865000		
145.000000	-578.669000		
145.500000	-578.649000		
146.000000	-578.905000		
146.500000	-579.202000		
147.000000	-579.157000		
147.500000	-579.349000		
148.000000	-579.400000		
148.500000	-579.330000		
149.000000	-579.444000		
149.500000	-579.325000		
150.000000	-579.186000		
150.500000	-579.058000		
151.000000	-579.188000		
151.500000	-579.181000		
152.000000	-579.381000		
152.500000	-579.338000		
153.000000	-579.195000		
153.500000	-579.307000		
154.000000	-579.398000		
154.500000	-579.238000		
155.000000	-578.951000		
155.500000	-578.907000		
156.000000	-579.111000		
156.500000	-579.161000		
157.000000	-579.082000		
157.500000	-579.164000		
158.000000	-579.546000		
