Date:	Fri, Apr 04, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-645.582000		
0.501000	-645.671000		
1.000000	-645.652000		
1.501000	-645.551000		
2.000000	-645.311000		
2.501000	-645.439000		
3.000000	-645.493000		
3.500000	-645.544000		
4.001000	-645.957000		
4.500000	-645.984000		
5.001000	-645.817000		
5.500000	-645.571000		
6.001000	-645.515000		
6.500000	-645.578000		
7.001000	-645.794000		
7.500000	-645.510000		
8.000000	-645.694000		
8.500000	-645.742000		
9.000000	-645.871000		
9.501000	-645.671000		
10.000000	-645.541000		
10.501000	-645.482000		
11.001000	-645.623000		
11.501000	-645.812000		
12.001000	-645.782000		
12.501000	-645.683000		
13.001000	-645.535000		
13.501000	-645.842000		
14.001000	-645.899000		
14.501000	-645.765000		
15.001000	-645.617000		
15.501000	-645.742000		
16.001000	-646.035000		
16.501000	-646.205000		
17.001000	-646.258000		
17.501000	-645.954000		
18.001000	-837.480000		
18.501000	-1138.875000		
19.001000	-1198.755000		
19.501000	-1192.440000		
20.001000	-1187.948000		
20.501000	-1187.573000		
21.001000	-1187.788000		
21.501000	-1187.852000		
22.001000	-1188.057000		
22.501000	-1187.870000		
23.001000	-1187.638000		
23.501000	-1187.396000		
24.001000	-1187.490000		
24.501000	-1187.690000		
25.001000	-1187.229000		
25.501000	-1186.998000		
26.001000	-1187.103000		
26.501000	-1186.941000		
27.001000	-1187.022000		
27.501000	-1186.868000		
28.001000	-1186.511000		
28.501000	-1186.349000		
29.001000	-1186.424000		
29.501000	-1186.469000		
30.001000	-1186.216000		
30.501000	-1186.099000		
31.001000	-1185.987000		
31.501000	-1185.683000		
32.001000	-1185.790000		
32.501000	-1185.767000		
33.001000	-1185.710000		
33.501000	-1185.875000		
34.001000	-1185.780000		
34.501000	-1185.475000		
35.001000	-1185.116000		
35.501000	-1184.806000		
36.001000	-1184.702000		
36.501000	-1184.762000		
37.001000	-1184.840000		
37.501000	-1184.587000		
38.001000	-1184.488000		
38.501000	-1184.482000		
39.001000	-1184.089000		
39.501000	-1184.188000		
40.001000	-1041.265000		
40.501000	-697.888000		
41.001000	-636.408000		
41.501000	-636.869000		
42.001000	-642.520000		
42.501000	-643.325000		
43.001000	-643.399000		
43.501000	-642.821000		
44.001000	-642.898000		
44.501000	-642.819000		
45.001000	-642.536000		
45.501000	-642.761000		
46.001000	-642.805000		
46.501000	-642.459000		
47.001000	-642.307000		
47.501000	-642.073000		
48.001000	-642.458000		
48.501000	-642.273000		
49.001000	-642.175000		
49.501000	-642.256000		
50.001000	-642.495000		
50.501000	-642.517000		
51.001000	-642.404000		
51.501000	-642.607000		
52.001000	-642.538000		
52.501000	-642.425000		
53.001000	-642.223000		
53.501000	-642.369000		
54.001000	-642.348000		
54.501000	-642.258000		
55.001000	-642.350000		
55.501000	-642.583000		
56.001000	-642.733000		
56.501000	-642.699000		
57.001000	-642.615000		
57.501000	-642.443000		
58.001000	-642.599000		
58.501000	-642.671000		
59.001000	-642.534000		
59.501000	-642.587000		
60.001000	-642.427000		
60.501000	-642.743000		
61.001000	-642.562000		
61.501000	-983.787000		
62.001000	-1181.684000		
62.501000	-1195.238000		
63.001000	-1187.653000		
63.501000	-1184.225000		
64.001000	-1184.168000		
64.501000	-1183.771000		
65.001000	-1183.848000		
65.501000	-1183.962000		
66.001000	-1183.988000		
66.501000	-1183.954000		
67.001000	-1183.807000		
67.501000	-1183.862000		
68.001000	-1183.565000		
68.501000	-1183.379000		
69.001000	-1183.359000		
69.501000	-1183.450000		
70.001000	-1183.134000		
70.501000	-1183.169000		
71.001000	-1183.079000		
71.501000	-1182.874000		
72.001000	-1182.617000		
72.501000	-1182.795000		
73.001000	-1182.956000		
73.501000	-1182.428000		
74.001000	-1182.565000		
74.501000	-1182.429000		
75.001000	-1182.469000		
75.501000	-1182.399000		
76.001000	-1182.210000		
76.501000	-1181.891000		
77.001000	-1182.268000		
77.501000	-1182.116000		
78.001000	-1181.889000		
78.501000	-1181.865000		
79.001000	-1182.027000		
79.501000	-1182.119000		
80.001000	-1181.776000		
80.501000	-1181.487000		
81.001000	-1181.337000		
81.501000	-1030.616000		
82.001000	-704.109000		
82.501000	-634.365000		
83.001000	-633.682000		
83.501000	-639.452000		
84.001000	-640.069000		
84.501000	-639.809000		
85.001000	-639.956000		
85.501000	-639.852000		
86.001000	-639.649000		
86.501000	-639.494000		
87.001000	-639.727000		
87.501000	-639.728000		
88.001000	-639.651000		
88.501000	-639.729000		
89.001000	-639.730000		
89.501000	-639.913000		
90.001000	-639.711000		
90.501000	-639.870000		
91.001000	-639.761000		
91.501000	-639.887000		
92.001000	-639.688000		
92.501000	-639.781000		
93.001000	-639.567000		
93.501000	-639.763000		
94.001000	-639.917000		
94.501000	-639.735000		
95.001000	-639.456000		
95.501000	-639.533000		
96.001000	-639.994000		
96.501000	-639.870000		
97.001000	-639.942000		
97.501000	-639.813000		
98.001000	-639.761000		
98.501000	-803.788000		
99.001000	-1127.950000		
99.501000	-1188.457000		
100.001000	-1187.653000		
100.501000	-1181.935000		
101.001000	-1181.155000		
101.501000	-1181.217000		
102.001000	-1181.258000		
102.501000	-1181.381000		
103.001000	-1181.229000		
103.501000	-1181.292000		
104.001000	-1181.440000		
104.501000	-1181.038000		
105.001000	-1181.026000		
105.501000	-1180.803000		
106.001000	-1180.999000		
106.501000	-1181.030000		
107.001000	-1180.816000		
107.501000	-1180.516000		
108.001000	-1180.742000		
108.501000	-1180.613000		
109.001000	-1180.503000		
109.501000	-1180.101000		
110.001000	-1179.964000		
110.501000	-1179.869000		
111.001000	-1179.655000		
111.501000	-1179.715000		
112.001000	-1179.867000		
112.501000	-1179.707000		
113.001000	-1179.318000		
113.501000	-1179.315000		
114.001000	-1179.289000		
114.501000	-1179.297000		
115.001000	-1179.149000		
115.501000	-1179.292000		
116.001000	-1179.137000		
116.501000	-1179.147000		
117.001000	-1178.998000		
117.501000	-1178.986000		
118.001000	-1178.707000		
118.501000	-1178.800000		
119.001000	-1178.540000		
119.501000	-1178.444000		
120.001000	-1178.698000		
120.501000	-1178.521000		
121.001000	-1178.720000		
121.501000	-812.795000		
122.001000	-634.672000		
122.501000	-628.391000		
123.001000	-635.179000		
123.501000	-637.352000		
124.001000	-637.417000		
124.501000	-637.152000		
125.001000	-637.147000		
125.501000	-637.116000		
126.001000	-637.203000		
126.501000	-637.134000		
127.001000	-637.002000		
127.501000	-637.334000		
128.001000	-637.282000		
128.501000	-637.210000		
129.001000	-636.954000		
129.501000	-637.106000		
130.001000	-637.009000		
