Date:	Fri, Apr 04, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-614.964000		
0.500000	-614.964000		
0.999000	-615.114000		
1.500000	-614.891000		
1.999000	-615.128000		
2.499000	-614.897000		
2.999000	-615.077000		
3.499000	-614.656000		
4.000000	-614.692000		
4.499000	-614.770000		
5.000000	-614.982000		
5.499000	-615.231000		
6.000000	-615.277000		
6.499000	-614.898000		
7.000000	-614.963000		
7.499000	-614.882000		
7.999000	-615.088000		
8.500000	-615.101000		
8.999000	-615.129000		
9.500000	-615.244000		
9.999000	-615.027000		
10.500000	-614.925000		
11.000000	-614.905000		
11.500000	-614.866000		
12.000000	-615.237000		
12.500000	-615.117000		
13.000000	-615.095000		
13.500000	-615.142000		
14.000000	-615.398000		
14.500000	-614.908000		
15.000000	-614.955000		
15.500000	-615.187000		
16.000000	-615.228000		
16.500000	-615.501000		
17.000000	-615.288000		
17.500000	-615.173000		
18.000000	-615.175000		
18.500000	-615.250000		
19.000000	-615.203000		
19.500000	-615.371000		
20.000000	-615.338000		
20.500000	-615.402000		
21.000000	-615.086000		
21.500000	-615.172000		
22.000000	-615.246000		
22.500000	-615.479000		
23.000000	-615.498000		
23.500000	-615.600000		
24.000000	-615.407000		
24.500000	-615.473000		
25.000000	-615.408000		
25.500000	-615.609000		
26.000000	-615.401000		
26.500000	-615.655000		
27.000000	-615.765000		
27.500000	-615.672000		
28.000000	-615.323000		
28.500000	-615.401000		
29.000000	-615.432000		
29.500000	-615.448000		
30.000000	-615.827000		
30.500000	-615.797000		
31.000000	-615.493000		
31.500000	-615.416000		
32.000000	-615.412000		
32.500000	-615.330000		
33.000000	-615.366000		
33.500000	-615.485000		
34.000000	-615.853000		
34.500000	-615.423000		
35.000000	-615.640000		
35.500000	-615.741000		
36.000000	-615.649000		
36.500000	-615.860000		
37.000000	-616.042000		
37.500000	-615.716000		
38.000000	-615.681000		
38.500000	-615.305000		
39.000000	-615.496000		
39.500000	-615.669000		
40.000000	-615.965000		
40.500000	-615.814000		
41.000000	-616.068000		
41.500000	-615.985000		
42.000000	-615.936000		
42.500000	-615.716000		
43.000000	-615.817000		
43.500000	-616.129000		
44.000000	-616.033000		
44.500000	-615.622000		
45.000000	-615.605000		
45.500000	-616.032000		
46.000000	-615.814000		
46.500000	-616.000000		
47.000000	-615.990000		
47.500000	-616.000000		
48.000000	-615.771000		
48.500000	-615.830000		
49.000000	-616.038000		
49.500000	-615.772000		
50.000000	-615.995000		
50.500000	-615.771000		
51.000000	-615.871000		
51.500000	-616.036000		
52.000000	-615.902000		
52.500000	-616.170000		
53.000000	-616.327000		
53.500000	-615.842000		
54.000000	-615.701000		
54.500000	-616.252000		
55.000000	-616.510000		
55.500000	-616.541000		
56.000000	-616.562000		
56.500000	-616.199000		
57.000000	-616.038000		
57.500000	-615.870000		
58.000000	-616.224000		
58.500000	-616.257000		
59.000000	-616.446000		
59.500000	-616.462000		
60.000000	-616.307000		
60.500000	-616.335000		
61.000000	-616.775000		
61.500000	-616.380000		
62.000000	-616.401000		
62.500000	-616.444000		
63.000000	-616.618000		
63.500000	-616.478000		
64.000000	-616.581000		
64.500000	-616.537000		
65.000000	-616.612000		
65.500000	-616.445000		
66.000000	-616.308000		
66.500000	-616.506000		
67.000000	-616.801000		
67.500000	-616.732000		
68.000000	-616.830000		
68.500000	-616.594000		
69.000000	-616.678000		
69.500000	-616.842000		
70.000000	-616.879000		
70.500000	-616.978000		
71.000000	-617.151000		
71.500000	-616.531000		
72.000000	-616.467000		
72.500000	-616.617000		
73.000000	-616.740000		
73.500000	-616.959000		
74.000000	-616.910000		
74.500000	-616.933000		
75.000000	-616.870000		
75.500000	-617.044000		
76.000000	-616.875000		
76.500000	-617.073000		
77.000000	-617.314000		
77.500000	-616.903000		
78.000000	-616.951000		
78.500000	-616.977000		
79.000000	-617.055000		
79.500000	-617.050000		
80.000000	-616.975000		
80.500000	-617.062000		
81.000000	-617.037000		
81.500000	-617.170000		
82.000000	-617.214000		
82.500000	-617.065000		
83.000000	-617.073000		
83.500000	-617.105000		
84.000000	-616.922000		
84.500000	-617.136000		
85.000000	-617.076000		
85.500000	-616.973000		
86.000000	-617.309000		
86.500000	-617.259000		
87.000000	-617.204000		
87.500000	-617.233000		
88.000000	-617.188000		
88.500000	-617.079000		
89.000000	-617.084000		
89.500000	-616.857000		
90.000000	-617.319000		
90.500000	-617.249000		
91.000000	-617.507000		
91.500000	-617.263000		
92.000000	-617.129000		
92.500000	-617.421000		
93.000000	-617.425000		
93.500000	-617.688000		
94.000000	-617.519000		
94.500000	-617.244000		
95.000000	-617.250000		
95.500000	-617.708000		
96.000000	-617.666000		
96.500000	-617.170000		
97.000000	-617.524000		
97.500000	-617.354000		
98.000000	-617.364000		
98.500000	-617.603000		
99.000000	-617.507000		
99.500000	-617.406000		
100.000000	-617.255000		
100.500000	-617.404000		
101.000000	-617.661000		
101.500000	-617.501000		
102.000000	-617.351000		
102.500000	-617.350000		
103.000000	-617.385000		
103.500000	-617.590000		
104.000000	-617.848000		
104.500000	-618.189000		
105.000000	-617.830000		
105.500000	-617.776000		
106.000000	-617.824000		
106.500000	-617.792000		
107.000000	-617.922000		
107.500000	-617.827000		
108.000000	-617.913000		
108.500000	-617.689000		
109.000000	-617.617000		
109.500000	-617.874000		
110.000000	-618.158000		
110.500000	-617.999000		
111.000000	-617.635000		
111.500000	-617.782000		
112.000000	-618.280000		
112.500000	-618.284000		
113.000000	-617.779000		
113.500000	-617.793000		
114.000000	-618.202000		
114.500000	-617.966000		
115.000000	-618.026000		
115.500000	-618.272000		
116.000000	-618.298000		
116.500000	-618.297000		
117.000000	-618.024000		
117.500000	-618.289000		
118.000000	-618.396000		
118.500000	-618.188000		
119.000000	-618.079000		
119.500000	-618.177000		
120.000000	-618.016000		
120.500000	-618.262000		
121.000000	-618.230000		
121.500000	-618.188000		
122.000000	-617.945000		
122.500000	-618.334000		
123.000000	-618.447000		
123.500000	-618.323000		
124.000000	-617.598000		
124.500000	-618.042000		
125.000000	-618.318000		
125.500000	-618.314000		
126.000000	-618.428000		
126.500000	-618.208000		
127.000000	-618.013000		
127.500000	-618.272000		
128.000000	-618.097000		
128.500000	-618.281000		
129.000000	-618.478000		
129.500000	-618.357000		
130.000000	-618.360000		
130.500000	-618.345000		
131.000000	-618.493000		
131.500000	-618.374000		
132.000000	-618.473000		
132.500000	-618.321000		
133.000000	-618.120000		
133.500000	-618.362000		
134.000000	-618.621000		
134.500000	-618.670000		
135.000000	-618.492000		
135.500000	-618.396000		
136.000000	-618.407000		
136.500000	-618.696000		
137.000000	-618.544000		
137.500000	-642.042000		
138.000000	-1088.214000		
138.500000	-1163.495000		
139.000000	-1166.424000		
139.500000	-1159.314000		
140.000000	-1157.854000		
140.500000	-1157.894000		
141.000000	-1158.374000		
141.500000	-1158.536000		
142.000000	-1158.441000		
142.500000	-1158.412000		
143.000000	-1158.434000		
143.500000	-1158.638000		
144.000000	-1158.882000		
144.500000	-1158.932000		
145.000000	-1158.938000		
145.500000	-1158.937000		
146.000000	-1158.507000		
146.500000	-1158.510000		
147.000000	-1158.872000		
147.500000	-1158.621000		
148.000000	-1158.445000		
148.500000	-1158.466000		
149.000000	-1158.579000		
149.500000	-1158.733000		
150.000000	-1158.434000		
150.500000	-1158.354000		
151.000000	-1158.351000		
151.500000	-1158.636000		
152.000000	-1158.512000		
152.500000	-1158.440000		
153.000000	-1158.331000		
153.500000	-1157.968000		
154.000000	-1158.213000		
154.500000	-1158.389000		
155.000000	-1158.351000		
155.500000	-1158.472000		
156.000000	-1158.467000		
156.500000	-1158.329000		
157.000000	-1158.092000		
157.500000	-1158.310000		
158.000000	-1158.328000		
158.500000	-1158.540000		
159.000000	-1158.479000		
159.500000	-1158.465000		
160.000000	-1158.375000		
160.500000	-1157.972000		
161.000000	-1157.862000		
161.500000	-1157.748000		
162.000000	-1157.629000		
162.500000	-1156.134000		
163.000000	-721.617000		
163.500000	-615.924000		
164.000000	-610.293000		
164.500000	-617.937000		
165.000000	-619.206000		
165.500000	-618.928000		
166.000000	-618.571000		
166.500000	-618.858000		
167.000000	-619.121000		
167.500000	-618.934000		
168.000000	-618.585000		
168.500000	-618.656000		
169.000000	-618.628000		
169.500000	-618.668000		
170.000000	-618.746000		
170.500000	-618.719000		
171.000000	-618.493000		
171.500000	-618.551000		
172.000000	-618.542000		
172.500000	-618.493000		
173.000000	-618.618000		
173.500000	-618.333000		
174.000000	-618.205000		
174.500000	-618.204000		
175.000000	-618.444000		
175.500000	-618.523000		
176.000000	-618.779000		
176.500000	-618.443000		
177.000000	-618.443000		
177.500000	-618.378000		
178.000000	-618.330000		
178.500000	-618.380000		
179.000000	-618.374000		
179.500000	-618.681000		
180.000000	-618.373000		
180.500000	-618.355000		
181.000000	-618.187000		
181.500000	-618.238000		
182.000000	-618.378000		
182.500000	-618.399000		
183.000000	-618.365000		
183.500000	-618.502000		
184.000000	-618.553000		
184.500000	-618.647000		
185.000000	-618.646000		
185.500000	-618.589000		
186.000000	-618.368000		
186.500000	-618.469000		
187.000000	-618.278000		
187.500000	-618.380000		
188.000000	-618.313000		
188.500000	-618.384000		
189.000000	-618.397000		
189.500000	-618.568000		
190.000000	-618.230000		
190.500000	-991.704000		
191.000000	-1159.667000		
191.500000	-1167.477000		
192.000000	-1159.176000		
192.500000	-1157.413000		
193.000000	-1157.744000		
193.500000	-1157.889000		
194.000000	-1158.063000		
194.500000	-1158.015000		
195.000000	-1157.927000		
195.500000	-1157.472000		
196.000000	-1157.564000		
196.500000	-1157.977000		
197.000000	-1157.963000		
197.500000	-1158.055000		
198.000000	-1157.923000		
198.500000	-1157.974000		
199.000000	-1157.944000		
199.500000	-1157.534000		
200.000000	-1157.915000		
200.500000	-1158.057000		
201.000000	-1158.161000		
201.500000	-1157.727000		
202.000000	-1157.820000		
202.500000	-1157.589000		
203.000000	-1157.297000		
203.500000	-1157.746000		
204.000000	-1157.678000		
204.500000	-1157.829000		
205.000000	-1157.524000		
205.500000	-1157.521000		
206.000000	-1157.511000		
206.500000	-1157.457000		
207.000000	-1157.323000		
207.500000	-1157.333000		
208.000000	-1157.291000		
208.500000	-1157.320000		
209.000000	-1157.115000		
209.500000	-1157.518000		
210.000000	-1157.139000		
210.500000	-1157.191000		
211.000000	-1156.933000		
211.500000	-1157.271000		
212.000000	-1157.164000		
212.500000	-1157.071000		
213.000000	-1157.308000		
213.500000	-1157.206000		
214.000000	-1157.109000		
214.500000	-1157.189000		
215.000000	-1156.964000		
215.500000	-1156.779000		
216.000000	-1156.813000		
216.500000	-1156.938000		
217.000000	-1156.971000		
217.500000	-1157.152000		
218.000000	-1156.910000		
218.500000	-1156.699000		
219.000000	-1156.950000		
219.500000	-1156.599000		
220.000000	-1156.188000		
220.500000	-1156.061000		
221.000000	-1156.523000		
221.500000	-1156.578000		
222.000000	-1156.601000		
222.500000	-1156.190000		
223.000000	-1156.294000		
223.500000	-1156.064000		
224.000000	-1156.049000		
224.500000	-1156.429000		
225.000000	-1156.022000		
225.500000	-1156.040000		
226.000000	-1156.017000		
226.500000	-773.554000		
227.000000	-615.534000		
227.500000	-607.521000		
228.000000	-615.722000		
228.500000	-617.023000		
229.000000	-617.236000		
229.500000	-617.072000		
230.000000	-616.730000		
230.500000	-616.860000		
231.000000	-617.172000		
231.500000	-617.189000		
232.000000	-616.907000		
232.500000	-616.751000		
233.000000	-616.485000		
233.500000	-616.883000		
234.000000	-616.809000		
234.500000	-616.627000		
235.000000	-616.703000		
235.500000	-616.840000		
236.000000	-616.721000		
236.500000	-616.602000		
237.000000	-616.426000		
237.500000	-616.285000		
238.000000	-616.689000		
238.500000	-616.703000		
239.000000	-616.517000		
239.500000	-616.654000		
240.000000	-616.537000		
240.500000	-616.238000		
241.000000	-616.247000		
241.500000	-616.413000		
242.000000	-616.723000		
242.500000	-616.535000		
243.000000	-616.117000		
243.500000	-616.393000		
244.000000	-616.448000		
244.500000	-616.769000		
245.000000	-616.795000		
245.500000	-616.757000		
246.000000	-616.253000		
246.500000	-616.233000		
247.000000	-616.376000		
247.500000	-616.576000		
248.000000	-616.494000		
248.500000	-616.608000		
249.000000	-616.758000		
249.500000	-616.483000		
250.000000	-616.270000		
250.500000	-616.463000		
251.000000	-616.561000		
251.500000	-616.631000		
252.000000	-616.690000		
252.500000	-616.470000		
253.000000	-616.325000		
253.500000	-616.398000		
254.000000	-616.585000		
254.500000	-616.691000		
255.000000	-616.551000		
255.500000	-616.562000		
256.000000	-616.488000		
256.500000	-616.448000		
257.000000	-616.710000		
257.500000	-616.625000		
258.000000	-791.526000		
258.500000	-1119.792000		
259.000000	-1165.806000		
259.500000	-1161.046000		
260.000000	-1156.290000		
260.500000	-1155.949000		
261.000000	-1155.987000		
261.500000	-1156.153000		
262.000000	-1156.018000		
262.500000	-1155.764000		
263.000000	-1155.886000		
263.500000	-1155.940000		
264.000000	-1156.058000		
264.500000	-1156.059000		
265.000000	-1156.016000		
265.500000	-1156.316000		
266.000000	-1155.993000		
266.500000	-1156.164000		
267.000000	-1156.069000		
267.500000	-1156.245000		
268.000000	-1156.326000		
268.500000	-1156.240000		
269.000000	-1155.891000		
269.500000	-1155.811000		
270.000000	-1155.668000		
270.500000	-1155.578000		
271.000000	-1155.641000		
271.500000	-1155.723000		
272.000000	-1156.023000		
272.500000	-1156.004000		
273.000000	-1156.007000		
273.500000	-1155.767000		
274.000000	-1155.483000		
274.500000	-1155.550000		
275.000000	-1155.404000		
275.500000	-1155.423000		
276.000000	-1155.443000		
276.500000	-1155.655000		
277.000000	-1155.483000		
277.500000	-1155.712000		
278.000000	-1155.404000		
278.500000	-1155.906000		
279.000000	-1155.567000		
279.500000	-1155.448000		
280.000000	-1155.471000		
280.500000	-1155.275000		
281.000000	-1155.153000		
281.500000	-1155.140000		
282.000000	-1155.127000		
282.500000	-1155.298000		
283.000000	-1155.280000		
283.500000	-1155.330000		
284.000000	-1155.274000		
284.500000	-1155.009000		
285.000000	-1154.768000		
285.500000	-1154.350000		
286.000000	-1155.131000		
286.500000	-1155.159000		
287.000000	-1154.997000		
287.500000	-1154.888000		
288.000000	-1154.694000		
288.500000	-1154.635000		
289.000000	-888.992000		
289.500000	-625.843000		
290.000000	-605.185000		
290.500000	-612.796000		
291.000000	-615.639000		
291.500000	-616.276000		
292.000000	-615.840000		
