Date:	Wed, Jan 15, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-320.814000		
0.500000	-320.819000		
1.000000	-320.712000		
1.501000	-321.084000		
2.000000	-321.045000		
2.500000	-320.881000		
3.000000	-320.896000		
3.500000	-320.797000		
4.000000	-320.954000		
4.500000	-320.855000		
5.000000	-320.507000		
5.500000	-320.667000		
6.000000	-320.947000		
6.500000	-321.163000		
7.001000	-320.940000		
7.500000	-320.808000		
8.001000	-320.903000		
8.500000	-320.525000		
9.000000	-320.317000		
9.500000	-320.145000		
10.000000	-320.170000		
10.500000	-319.892000		
11.000000	-320.032000		
11.500000	-320.131000		
12.000000	-320.405000		
12.500000	-320.330000		
13.000000	-320.560000		
13.500000	-320.940000		
14.000000	-321.231000		
14.500000	-321.085000		
15.001000	-321.055000		
15.500000	-320.893000		
16.000000	-320.643000		
16.500000	-320.509000		
17.000000	-320.770000		
17.500000	-320.649000		
18.000000	-320.953000		
18.500000	-320.863000		
19.000000	-320.897000		
19.500000	-320.869000		
20.000000	-320.870000		
20.500000	-320.829000		
21.000000	-321.034000		
21.500000	-321.220000		
22.000000	-321.187000		
22.500000	-320.841000		
23.000000	-320.549000		
23.500000	-320.461000		
24.000000	-320.607000		
24.500000	-320.549000		
25.000000	-320.597000		
25.500000	-320.766000		
26.000000	-320.907000		
26.500000	-320.528000		
27.000000	-320.564000		
