Date:	Mon, Nov 18, 2013		
measured by:	Rotem		
HOPG 2 spot 1			
Time [s]	CPD stream	Light	SPV
0.000000	-472.955000		
0.500000	-472.673000		
1.000000	-472.618000		
1.500000	-472.772000		
2.000000	-472.777000		
2.500000	-473.048000		
3.000000	-473.198000		
3.500000	-473.177000		
4.000000	-473.053000		
4.500000	-472.475000		
5.000000	-472.277000		
5.501000	-472.351000		
6.000000	-472.456000		
6.501000	-472.748000		
7.000000	-472.629000		
7.501000	-472.650000		
8.000000	-472.609000		
8.501000	-472.598000		
9.000000	-472.482000		
9.501000	-472.463000		
10.000000	-472.193000		
10.500000	-471.998000		
11.000000	-472.071000		
11.500000	-471.988000		
12.000000	-472.302000		
12.500000	-472.051000		
13.000000	-472.634000		
13.500000	-472.973000		
14.000000	-472.951000		
14.500000	-473.106000		
15.000000	-473.011000		
15.501000	-473.021000		
16.000000	-473.107000		
16.501000	-473.154000		
17.000000	-472.897000		
17.501000	-473.249000		
18.000000	-473.278000		
18.501000	-473.095000		
19.000000	-472.716000		
19.501000	-472.794000		
20.000000	-472.904000		
20.500000	-473.040000		
21.000000	-472.947000		
21.500000	-472.808000		
22.001000	-472.699000		
22.500000	-472.763000		
23.001000	-472.815000		
23.500000	-472.951000		
24.001000	-473.188000		
24.500000	-473.102000		
25.001000	-473.157000		
25.500000	-473.135000		
26.000000	-473.126000		
26.500000	-473.414000		
27.000000	-472.953000		
27.500000	-473.344000		
28.000000	-473.680000		
28.500000	-473.319000		
29.000000	-473.482000		
29.500000	-473.501000		
30.000000	-473.351000		
30.500000	-473.476000		
31.000000	-473.329000		
31.500000	-473.388000		
32.000000	-473.116000		
32.500000	-472.489000		
33.000000	-472.781000		
33.500000	-472.854000		
34.000000	-472.974000		
34.500000	-473.275000		
35.000000	-473.467000		
35.500000	-473.571000		
36.000000	-473.442000		
36.500000	-473.234000		
37.000000	-473.439000		
37.500000	-473.179000		
38.000000	-472.990000		
38.500000	-473.284000		
39.000000	-473.033000		
39.500000	-472.935000		
40.000000	-473.074000		
40.500000	-473.112000		
41.000000	-473.424000		
41.500000	-473.264000		
42.000000	-473.429000		
42.500000	-473.870000		
43.000000	-473.442000		
43.500000	-473.340000		
44.000000	-473.765000		
44.500000	-473.463000		
45.000000	-473.207000		
45.500000	-473.433000		
46.000000	-473.237000		
46.500000	-473.372000		
47.000000	-473.365000		
47.500000	-473.136000		
48.000000	-473.154000		
48.500000	-472.626000		
49.000000	-472.519000		
49.500000	-472.472000		
50.000000	-472.560000		
50.500000	-472.870000		
51.000000	-472.954000		
51.500000	-472.813000		
52.000000	-472.948000		
52.500000	-472.480000		
53.000000	-472.881000		
53.500000	-472.980000		
54.000000	-472.956000		
54.500000	-473.083000		
55.000000	-473.201000		
55.500000	-473.325000		
56.000000	-473.337000		
56.500000	-473.134000		
57.000000	-473.378000		
57.500000	-473.189000		
58.000000	-473.348000		
58.500000	-473.862000		
59.000000	-474.051000		
59.500000	-474.137000		
60.000000	-473.885000		
