Date:	Wed, Nov 20, 2013		
measured by:	Rotem		
HOPG inbetween			
Time [s]	CPD stream	Light	SPV
0.000000	-299.949000		
0.499000	-299.968000		
0.999000	-299.739000		
1.500000	-299.504000		
1.999000	-299.453000		
2.500000	-299.545000		
2.999000	-299.538000		
3.500000	-299.286000		
3.999000	-299.824000		
4.499000	-299.597000		
4.999000	-299.581000		
5.499000	-299.547000		
5.999000	-299.330000		
6.499000	-299.215000		
6.999000	-299.135000		
7.499000	-299.159000		
7.999000	-299.235000		
8.499000	-299.532000		
8.999000	-299.396000		
9.499000	-299.282000		
10.000000	-299.594000		
10.499000	-299.610000		
10.999000	-299.893000		
11.499000	-299.751000		
11.999000	-299.893000		
12.499000	-299.815000		
12.999000	-299.731000		
13.499000	-299.862000		
13.999000	-299.629000		
14.499000	-299.292000		
14.999000	-299.267000		
15.499000	-299.474000		
15.999000	-299.250000		
16.499000	-299.005000		
16.999000	-299.039000		
17.499000	-299.508000		
17.999000	-299.619000		
18.499000	-299.538000		
18.999000	-299.531000		
19.499000	-299.494000		
19.999000	-299.101000		
20.499000	-298.961000		
20.999000	-298.958000		
21.499000	-298.914000		
21.999000	-298.617000		
22.499000	-298.764000		
22.999000	-298.484000		
23.499000	-298.758000		
23.999000	-298.788000		
24.499000	-298.912000		
24.999000	-298.970000		
25.499000	-298.934000		
25.999000	-298.909000		
26.499000	-299.056000		
26.999000	-299.080000		
27.499000	-298.934000		
27.999000	-299.104000		
