Date:	Wed, Nov 20, 2013		
measured by:	Rotem		
si low res. 5 min after etch			
Time [s]	CPD stream	Light	SPV
0.000000	-608.346000		
0.500000	-608.346000		
1.000000	-608.250000		
1.500000	-608.279000		
2.000000	-608.243000		
2.501000	-608.266000		
3.001000	-608.810000		
3.500000	-608.612000		
4.000000	-608.426000		
4.500000	-608.609000		
5.000000	-608.543000		
5.500000	-608.632000		
6.000000	-608.840000		
6.500000	-608.711000		
7.000000	-608.562000		
7.500000	-608.753000		
8.000000	-608.650000		
8.500000	-608.827000		
9.000000	-608.951000		
9.500000	-609.050000		
10.000000	-609.205000		
10.500000	-609.143000		
11.000000	-609.120000		
11.500000	-608.770000		
12.000000	-608.592000		
12.500000	-608.589000		
13.000000	-608.612000		
13.500000	-608.671000		
14.000000	-608.905000		
14.500000	-608.768000		
15.000000	-608.476000		
15.500000	-608.448000		
16.000000	-608.262000		
16.500000	-608.053000		
17.000000	-607.858000		
17.500000	-607.779000		
18.000000	-608.188000		
18.500000	-608.027000		
19.000000	-607.914000		
19.500000	-607.765000		
20.000000	-607.898000		
20.500000	-607.859000		
21.000000	-607.926000		
21.500000	-607.938000		
22.000000	-607.861000		
22.500000	-608.200000		
23.000000	-608.029000		
23.500000	-607.690000		
24.000000	-607.856000		
24.500000	-608.194000		
25.000000	-608.119000		
25.500000	-608.026000		
26.000000	-608.016000		
26.500000	-607.808000		
27.000000	-607.605000		
27.500000	-607.573000		
28.000000	-607.718000		
28.500000	-607.960000		
29.000000	-607.930000		
29.500000	-607.913000		
30.000000	-607.806000		
30.500000	-608.052000		
31.000000	-608.042000		
31.500000	-607.922000		
32.000000	-607.915000		
32.500000	-608.227000		
33.000000	-607.925000		
33.500000	-607.741000		
34.000000	-607.729000		
34.500000	-607.690000		
35.000000	-607.455000		
35.500000	-607.293000		
36.000000	-607.069000		
36.500000	-607.304000		
37.000000	-607.230000		
37.500000	-607.396000		
38.000000	-607.074000		
38.500000	-607.361000		
39.000000	-607.531000		
39.500000	-607.800000		
40.000000	-607.832000		
40.500000	-607.691000		
41.000000	-607.672000		
41.500000	-607.672000		
42.000000	-607.540000		
42.500000	-607.322000		
43.000000	-607.361000		
43.500000	-607.500000		
44.000000	-607.513000		
44.500000	-608.008000		
45.000000	-607.833000		
45.500000	-607.815000		
46.000000	-607.566000		
46.500000	-607.388000		
47.000000	-607.056000		
47.500000	-607.089000		
48.000000	-607.153000		
48.500000	-607.046000		
49.000000	-607.106000		
49.500000	-607.207000		
50.000000	-607.067000		
50.500000	-607.185000		
51.000000	-606.999000		
51.500000	-607.175000		
52.000000	-607.111000		
52.500000	-606.877000		
53.000000	-606.586000		
53.500000	-606.659000		
54.000000	-606.873000		
54.500000	-607.019000		
55.000000	-607.013000		
55.500000	-606.879000		
56.000000	-607.331000		
56.500000	-607.188000		
57.000000	-607.044000		
57.500000	-607.016000		
58.000000	-607.058000		
58.500000	-606.962000		
59.000000	-606.756000		
59.500000	-606.528000		
60.000000	-606.818000		
60.500000	-607.026000		
61.000000	-606.700000		
61.500000	-606.796000		
62.000000	-606.980000		
62.500000	-606.817000		
63.000000	-606.569000		
63.500000	-606.772000		
