Date:	Tue, Jan 21, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-558.415000		
0.500000	-558.546000		
1.000000	-558.508000		
1.500000	-558.501000		
2.000000	-558.605000		
2.500000	-558.319000		
3.000000	-558.568000		
3.499000	-558.803000		
4.000000	-558.555000		
4.499000	-558.688000		
5.000000	-559.014000		
5.500000	-559.011000		
6.000000	-558.657000		
6.500000	-558.314000		
7.000000	-558.271000		
7.500000	-558.325000		
7.999000	-558.254000		
8.500000	-557.977000		
8.999000	-558.071000		
9.500000	-558.269000		
10.000000	-558.092000		
10.500000	-558.105000		
11.000000	-557.983000		
11.500000	-558.187000		
12.000000	-557.939000		
12.500000	-557.865000		
13.000000	-558.214000		
13.500000	-558.086000		
14.000000	-558.148000		
14.500000	-558.378000		
15.000000	-558.290000		
15.500000	-558.343000		
16.000000	-557.965000		
16.500000	-557.962000		
17.000000	-557.980000		
17.500000	-558.011000		
18.000000	-558.141000		
18.500000	-557.773000		
19.000000	-557.932000		
19.500000	-558.107000		
20.000000	-558.200000		
20.500000	-558.366000		
21.000000	-558.632000		
21.500000	-558.391000		
22.000000	-558.439000		
22.500000	-558.391000		
23.000000	-558.448000		
23.500000	-558.442000		
24.000000	-558.576000		
24.500000	-558.507000		
25.000000	-558.110000		
25.500000	-557.740000		
26.000000	-557.564000		
26.500000	-557.838000		
27.000000	-558.017000		
27.500000	-558.083000		
28.000000	-558.414000		
28.500000	-558.605000		
29.000000	-558.540000		
29.500000	-558.519000		
30.000000	-558.251000		
30.500000	-558.063000		
31.000000	-557.963000		
31.500000	-557.987000		
32.000000	-558.419000		
32.500000	-558.242000		
33.000000	-558.147000		
33.500000	-558.330000		
34.000000	-558.069000		
34.500000	-557.810000		
35.000000	-557.898000		
35.500000	-558.137000		
36.000000	-557.944000		
36.500000	-558.012000		
37.000000	-558.119000		
37.500000	-557.917000		
38.000000	-557.890000		
38.500000	-557.890000		
39.000000	-558.044000		
39.500000	-558.486000		
40.000000	-558.242000		
40.500000	-558.155000		
41.000000	-557.818000		
41.500000	-557.832000		
42.000000	-557.593000		
42.500000	-557.451000		
43.000000	-557.704000		
43.500000	-557.625000		
44.000000	-557.765000		
44.500000	-557.497000		
45.000000	-557.598000		
45.500000	-557.633000		
46.000000	-557.730000		
46.500000	-557.722000		
47.000000	-557.813000		
47.500000	-557.788000		
48.000000	-557.312000		
48.500000	-557.057000		
49.000000	-556.738000		
49.500000	-557.063000		
50.000000	-556.988000		
50.500000	-556.896000		
51.000000	-557.050000		
51.500000	-557.182000		
52.000000	-558.145000		
52.500000	-562.139000		
53.000000	-566.370000		
53.500000	-570.120000		
54.000000	-573.451000		
54.500000	-576.711000		
55.000000	-579.002000		
55.500000	-580.884000		
56.000000	-582.585000		
56.500000	-583.786000		
57.000000	-584.458000		
57.500000	-585.070000		
58.000000	-585.723000		
58.500000	-586.628000		
59.000000	-586.955000		
59.500000	-587.791000		
60.000000	-588.365000		
60.500000	-588.884000		
61.000000	-589.022000		
61.500000	-589.241000		
62.000000	-589.337000		
62.500000	-589.310000		
63.000000	-589.208000		
63.500000	-589.728000		
64.000000	-590.264000		
64.500000	-590.430000		
65.000000	-590.633000		
65.500000	-590.495000		
66.000000	-590.405000		
66.500000	-590.324000		
67.000000	-590.228000		
67.500000	-590.067000		
68.000000	-590.017000		
68.500000	-589.915000		
69.000000	-589.785000		
69.500000	-590.013000		
70.000000	-590.017000		
70.500000	-590.346000		
71.000000	-590.445000		
71.500000	-590.811000		
72.000000	-591.272000		
72.500000	-591.013000		
73.000000	-591.149000		
73.500000	-591.067000		
74.000000	-590.872000		
74.500000	-590.974000		
75.000000	-590.456000		
75.500000	-590.587000		
76.000000	-590.614000		
76.500000	-590.695000		
77.000000	-591.026000		
77.500000	-591.675000		
78.000000	-591.737000		
78.500000	-591.728000		
79.000000	-591.646000		
79.500000	-591.795000		
80.000000	-592.012000		
80.500000	-591.950000		
81.000000	-592.134000		
81.500000	-592.247000		
82.000000	-592.472000		
82.500000	-592.497000		
83.000000	-592.476000		
83.500000	-592.517000		
84.000000	-592.102000		
84.500000	-591.867000		
85.000000	-591.758000		
85.500000	-591.890000		
86.000000	-591.796000		
86.500000	-592.228000		
87.000000	-592.040000		
87.500000	-591.758000		
88.000000	-591.703000		
88.500000	-591.731000		
89.000000	-591.764000		
89.500000	-591.651000		
90.000000	-591.309000		
90.500000	-591.612000		
91.000000	-591.770000		
91.500000	-591.879000		
92.000000	-591.680000		
92.500000	-591.205000		
93.000000	-591.141000		
93.500000	-590.744000		
94.000000	-590.030000		
94.500000	-590.022000		
95.000000	-590.096000		
95.500000	-589.924000		
96.000000	-590.039000		
96.500000	-590.043000		
97.000000	-589.923000		
97.500000	-590.022000		
98.000000	-589.668000		
98.500000	-589.440000		
99.000000	-589.536000		
99.500000	-589.220000		
100.000000	-587.961000		
100.500000	-586.865000		
100.999000	-585.907000		
101.500000	-584.968000		
102.000000	-584.228000		
102.500000	-583.269000		
103.000000	-582.508000		
103.500000	-581.456000		
