Date:	Mon, Nov 25, 2013		
measured by:	Rotem		
Si for Mmantsae, spv: 24,34,			
Time [s]	CPD stream	Light	SPV
0.000000	-562.132000		
0.500000	-562.117000		
0.999000	-561.779000		
1.499000	-561.908000		
1.999000	-562.041000		
2.499000	-562.141000		
2.999000	-562.050000		
3.499000	-561.854000		
4.000000	-562.001000		
4.499000	-562.155000		
4.999000	-562.194000		
5.499000	-562.005000		
5.999000	-561.886000		
6.499000	-561.564000		
6.999000	-561.199000		
7.499000	-561.265000		
7.999000	-561.239000		
8.499000	-561.523000		
8.999000	-561.317000		
9.499000	-561.058000		
9.999000	-561.364000		
10.499000	-561.678000		
10.999000	-561.387000		
11.499000	-561.473000		
11.999000	-561.351000		
12.499000	-561.193000		
12.999000	-561.183000		
13.499000	-561.043000		
13.999000	-561.182000		
14.499000	-561.251000		
14.999000	-561.231000		
15.499000	-560.957000		
15.999000	-561.005000		
16.499000	-561.102000		
16.999000	-560.825000		
17.499000	-560.728000		
17.999000	-561.004000		
18.499000	-561.145000		
18.999000	-561.063000		
19.499000	-560.918000		
19.999000	-560.955000		
20.499000	-561.080000		
20.999000	-561.147000		
21.499000	-561.103000		
21.999000	-560.976000		
22.499000	-560.759000		
22.999000	-561.108000		
23.499000	-561.066000		
23.999000	-560.729000		
24.499000	-561.181000		
24.999000	-561.191000		
25.499000	-561.241000		
25.999000	-561.085000		
26.499000	-560.981000		
26.999000	-561.185000		
27.499000	-561.059000		
27.999000	-561.198000		
28.499000	-561.337000		
28.999000	-561.250000		
29.499000	-561.032000		
29.999000	-560.806000		
30.499000	-560.897000		
30.999000	-560.720000		
31.499000	-560.737000		
31.999000	-561.000000		
32.499000	-561.203000		
32.999000	-561.197000		
33.499000	-561.061000		
33.999000	-561.056000		
34.499000	-561.049000		
34.999000	-561.039000		
35.499000	-560.948000		
35.999000	-561.156000		
36.499000	-561.091000		
36.999000	-560.811000		
37.499000	-560.735000		
37.999000	-560.744000		
38.499000	-560.854000		
38.999000	-560.657000		
39.499000	-560.667000		
39.999000	-560.415000		
40.499000	-560.730000		
40.999000	-560.659000		
41.499000	-560.856000		
41.999000	-560.853000		
42.499000	-560.790000		
42.999000	-560.786000		
43.499000	-560.955000		
43.999000	-560.672000		
44.499000	-560.298000		
44.999000	-560.523000		
45.499000	-560.724000		
45.999000	-560.818000		
46.499000	-560.822000		
46.999000	-560.836000		
47.499000	-560.746000		
47.999000	-560.954000		
48.499000	-561.048000		
48.999000	-561.017000		
49.499000	-560.907000		
49.999000	-560.731000		
50.499000	-560.867000		
50.999000	-560.442000		
51.499000	-560.507000		
51.999000	-560.843000		
52.499000	-560.967000		
52.999000	-561.160000		
53.499000	-561.065000		
53.999000	-560.927000		
54.499000	-560.958000		
54.999000	-560.594000		
55.499000	-560.380000		
55.999000	-560.355000		
56.499000	-560.453000		
56.999000	-560.779000		
57.499000	-560.974000		
57.999000	-561.006000		
58.499000	-560.844000		
58.999000	-560.699000		
59.499000	-560.453000		
59.999000	-560.538000		
60.499000	-560.692000		
60.999000	-560.644000		
66.999000	-560.586000		
67.499000	-560.584000		
68.000000	-560.466000		
68.499000	-560.669000		
68.999000	-560.890000		
69.499000	-560.835000		
69.999000	-560.915000		
70.499000	-560.817000		
70.999000	-560.924000		
71.499000	-560.739000		
71.999000	-560.764000		
72.499000	-560.631000		
72.999000	-560.669000		
73.499000	-560.803000		
73.999000	-560.681000		
74.499000	-560.812000		
74.999000	-561.017000		
75.499000	-560.924000		
75.999000	-561.173000		
76.499000	-561.412000		
76.999000	-561.076000		
77.499000	-560.869000		
77.999000	-561.065000		
78.499000	-561.007000		
78.999000	-561.081000		
79.499000	-561.197000		
79.999000	-561.547000		
80.499000	-561.358000		
80.999000	-561.078000		
81.499000	-560.814000		
81.999000	-560.987000		
82.499000	-561.156000		
82.999000	-561.293000		
83.499000	-561.164000		
83.999000	-561.014000		
84.499000	-561.135000		
84.999000	-561.318000		
85.499000	-561.346000		
86.000000	-561.422000		
86.499000	-561.157000		
86.999000	-561.101000		
87.499000	-560.822000		
87.999000	-560.922000		
88.499000	-561.319000		
88.999000	-561.427000		
89.499000	-561.664000		
89.999000	-561.485000		
90.500000	-561.681000		
91.000000	-561.902000		
91.499000	-561.748000		
91.999000	-561.653000		
92.499000	-561.403000		
92.999000	-561.495000		
93.500000	-561.707000		
93.999000	-561.667000		
94.499000	-561.425000		
94.999000	-561.768000		
95.500000	-561.498000		
95.999000	-561.714000		
96.500000	-561.633000		
97.000000	-561.692000		
97.500000	-561.745000		
97.999000	-561.359000		
98.499000	-561.187000		
98.999000	-561.356000		
99.499000	-561.042000		
99.999000	-561.173000		
100.499000	-561.240000		
100.999000	-561.177000		
101.499000	-561.500000		
101.999000	-562.197000		
102.499000	-567.072000		
102.999000	-574.963000		
103.499000	-580.815000		
103.999000	-584.822000		
104.499000	-587.744000		
104.999000	-589.410000		
105.499000	-590.740000		
105.999000	-591.573000		
106.499000	-592.175000		
106.999000	-592.355000		
107.499000	-592.819000		
107.999000	-593.048000		
108.499000	-593.326000		
108.999000	-593.639000		
109.499000	-593.416000		
109.999000	-593.319000		
110.499000	-593.646000		
110.999000	-593.774000		
111.499000	-594.113000		
111.999000	-594.162000		
112.499000	-593.959000		
112.999000	-593.939000		
113.499000	-593.946000		
113.999000	-593.652000		
114.499000	-593.721000		
114.999000	-593.651000		
115.499000	-593.675000		
115.999000	-593.633000		
116.499000	-593.905000		
116.999000	-593.887000		
117.499000	-593.888000		
117.999000	-594.064000		
118.499000	-594.133000		
118.999000	-593.941000		
119.499000	-593.917000		
119.999000	-593.789000		
120.499000	-593.875000		
120.999000	-594.086000		
121.499000	-594.350000		
121.999000	-594.190000		
122.499000	-593.869000		
122.999000	-594.097000		
123.499000	-593.995000		
123.999000	-594.003000		
124.499000	-594.164000		
124.999000	-594.536000		
125.499000	-594.777000		
125.999000	-594.752000		
126.499000	-594.448000		
126.999000	-594.365000		
127.499000	-594.164000		
127.999000	-593.856000		
128.499000	-593.505000		
128.999000	-592.905000		
129.499000	-592.503000		
129.999000	-592.529000		
130.499000	-592.393000		
130.999000	-592.307000		
131.499000	-592.015000		
131.999000	-591.635000		
132.499000	-591.208000		
132.999000	-590.976000		
133.499000	-590.909000		
133.999000	-590.732000		
134.499000	-590.605000		
134.999000	-590.273000		
135.499000	-590.018000		
135.999000	-589.598000		
136.499000	-589.584000		
136.999000	-589.403000		
137.499000	-589.431000		
137.999000	-589.599000		
138.499000	-589.865000		
138.999000	-589.581000		
139.499000	-589.387000		
140.000000	-589.162000		
140.500000	-588.840000		
141.000000	-588.648000		
141.500000	-588.446000		
142.000000	-588.244000		
142.500000	-588.160000		
143.000000	-587.799000		
143.500000	-587.901000		
144.000000	-587.992000		
144.500000	-587.459000		
145.000000	-587.104000		
145.500000	-586.997000		
146.000000	-587.019000		
146.500000	-587.147000		
147.000000	-587.354000		
147.500000	-587.131000		
148.000000	-587.036000		
148.500000	-586.700000		
149.000000	-586.051000		
149.500000	-585.213000		
150.000000	-584.481000		
150.500000	-583.960000		
151.000000	-583.035000		
151.500000	-582.479000		
152.000000	-582.268000		
152.500000	-581.881000		
153.000000	-581.529000		
153.500000	-581.050000		
154.000000	-580.387000		
154.500000	-580.016000		
155.000000	-579.729000		
155.500000	-579.315000		
156.000000	-579.033000		
156.500000	-579.013000		
157.000000	-578.851000		
157.500000	-578.642000		
158.000000	-577.838000		
158.500000	-577.281000		
159.000000	-577.203000		
159.500000	-577.233000		
160.000000	-576.921000		
