Date:	Mon, Nov 25, 2013		
measured by:	Rotem		
p-Si (+) 7 min 35 after etch, touched.			
Time [s]	CPD stream	Light	SPV
0.000000	-530.744000		
0.501000	-530.676000		
1.001000	-530.571000		
1.500000	-530.590000		
2.000000	-530.762000		
2.500000	-530.753000		
3.000000	-530.761000		
3.500000	-530.617000		
4.000000	-530.477000		
4.500000	-530.599000		
5.000000	-530.661000		
5.500000	-530.231000		
6.000000	-530.753000		
6.500000	-530.910000		
7.000000	-530.862000		
7.500000	-530.994000		
8.000000	-530.877000		
8.500000	-530.835000		
9.000000	-530.785000		
9.500000	-530.811000		
10.000000	-531.147000		
10.500000	-530.606000		
11.000000	-530.737000		
11.500000	-530.882000		
12.000000	-531.025000		
12.500000	-531.407000		
13.000000	-531.198000		
13.500000	-531.423000		
14.000000	-531.263000		
14.500000	-531.342000		
15.000000	-531.233000		
15.501000	-531.452000		
16.000000	-531.389000		
16.500000	-531.332000		
17.000000	-531.196000		
17.500000	-531.312000		
18.000000	-531.344000		
18.500000	-531.371000		
19.000000	-531.318000		
19.500000	-531.658000		
20.000000	-531.553000		
20.500000	-531.203000		
21.000000	-531.089000		
21.500000	-530.856000		
22.000000	-530.706000		
22.500000	-531.018000		
23.000000	-530.885000		
23.500000	-531.023000		
24.000000	-531.181000		
24.500000	-531.262000		
