Date:	Sun, Jan 26, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-433.627000		
0.500000	-433.621000		
1.000000	-433.682000		
1.500000	-433.957000		
2.000000	-434.200000		
2.499000	-434.411000		
3.000000	-435.175000		
3.499000	-435.198000		
4.000000	-435.609000		
4.499000	-435.694000		
5.000000	-435.873000		
5.500000	-435.569000		
6.000000	-436.034000		
6.500000	-436.841000		
7.000000	-437.108000		
7.500000	-437.032000		
7.999000	-437.283000		
8.500000	-437.727000		
8.999000	-438.124000		
9.500000	-438.360000		
10.000000	-438.615000		
10.500000	-438.906000		
11.000000	-439.539000		
11.500000	-439.718000		
12.000000	-439.613000		
12.500000	-439.792000		
13.000000	-440.539000		
13.500000	-440.494000		
14.000000	-440.418000		
14.500000	-440.340000		
15.000000	-440.899000		
15.500000	-441.343000		
16.000000	-441.058000		
16.500000	-441.126000		
17.000000	-441.193000		
17.500000	-441.744000		
18.000000	-442.191000		
18.500000	-442.368000		
19.000000	-442.939000		
19.500000	-443.357000		
20.000000	-443.254000		
20.500000	-443.297000		
21.000000	-443.680000		
21.500000	-444.258000		
22.000000	-444.306000		
22.500000	-444.187000		
23.000000	-444.173000		
23.500000	-444.693000		
24.000000	-444.919000		
24.500000	-444.897000		
25.000000	-445.312000		
25.500000	-445.972000		
26.000000	-445.446000		
26.500000	-445.386000		
27.000000	-445.932000		
27.500000	-446.621000		
28.000000	-446.582000		
28.500000	-446.673000		
29.000000	-446.994000		
29.500000	-447.412000		
30.000000	-447.524000		
30.500000	-447.535000		
31.000000	-447.978000		
31.500000	-448.646000		
32.000000	-448.557000		
32.500000	-448.607000		
33.000000	-449.239000		
33.500000	-449.220000		
34.000000	-449.033000		
34.500000	-449.012000		
35.000000	-449.195000		
35.500000	-449.468000		
36.000000	-449.574000		
36.500000	-449.833000		
37.000000	-450.388000		
37.500000	-450.661000		
38.000000	-450.626000		
38.500000	-450.768000		
39.000000	-451.393000		
39.500000	-451.451000		
40.000000	-451.000000		
40.500000	-451.409000		
41.000000	-451.951000		
41.500000	-452.319000		
42.000000	-452.337000		
42.500000	-452.391000		
43.000000	-452.571000		
43.500000	-452.729000		
44.000000	-452.629000		
44.500000	-452.757000		
45.000000	-453.096000		
45.500000	-453.325000		
46.000000	-453.213000		
46.500000	-453.968000		
47.000000	-454.393000		
47.500000	-454.152000		
48.000000	-454.673000		
48.500000	-455.152000		
49.000000	-455.150000		
49.500000	-455.270000		
50.000000	-455.718000		
50.500000	-455.803000		
51.000000	-455.270000		
51.500000	-455.351000		
52.000000	-455.513000		
52.500000	-455.690000		
53.000000	-455.772000		
53.500000	-455.726000		
54.000000	-456.317000		
54.500000	-456.487000		
55.000000	-456.419000		
55.500000	-456.456000		
56.000000	-456.943000		
56.500000	-457.020000		
57.000000	-456.843000		
57.500000	-457.472000		
58.000000	-457.345000		
58.500000	-457.022000		
59.000000	-457.538000		
59.500000	-458.251000		
60.000000	-457.948000		
60.500000	-458.024000		
61.000000	-458.125000		
61.500000	-458.280000		
62.000000	-458.361000		
62.500000	-459.021000		
63.000000	-459.332000		
63.500000	-459.319000		
64.000000	-459.555000		
64.500000	-459.735000		
65.000000	-459.978000		
65.500000	-460.126000		
66.000000	-460.471000		
66.500000	-460.774000		
67.000000	-460.930000		
67.500000	-460.980000		
68.000000	-460.953000		
68.500000	-461.032000		
69.000000	-461.189000		
69.500000	-461.289000		
70.000000	-461.183000		
70.500000	-461.304000		
71.000000	-461.377000		
71.500000	-461.516000		
72.000000	-461.418000		
72.500000	-461.746000		
73.000000	-461.838000		
73.500000	-461.951000		
74.000000	-462.000000		
74.500000	-462.278000		
75.000000	-462.561000		
75.500000	-462.680000		
76.000000	-462.749000		
76.500000	-462.878000		
77.000000	-463.131000		
77.500000	-462.751000		
78.000000	-463.119000		
78.500000	-463.453000		
79.000000	-463.257000		
79.500000	-463.400000		
80.000000	-463.862000		
80.500000	-463.654000		
81.000000	-463.725000		
81.499000	-464.241000		
82.000000	-464.465000		
82.499000	-464.403000		
83.000000	-464.525000		
83.500000	-464.931000		
84.000000	-464.771000		
84.500000	-464.824000		
84.999000	-465.205000		
85.500000	-465.365000		
85.999000	-465.468000		
86.500000	-466.103000		
86.999000	-466.467000		
87.500000	-466.254000		
88.000000	-466.165000		
88.500000	-466.467000		
89.000000	-466.335000		
89.500000	-466.562000		
90.000000	-466.719000		
90.500000	-466.569000		
91.000000	-466.735000		
91.500000	-466.872000		
92.000000	-466.921000		
92.500000	-466.909000		
93.000000	-467.411000		
93.500000	-467.521000		
94.000000	-467.458000		
94.500000	-467.179000		
95.000000	-467.059000		
95.500000	-467.290000		
96.000000	-468.064000		
96.500000	-468.252000		
97.000000	-468.213000		
97.500000	-468.416000		
98.000000	-468.580000		
98.500000	-468.353000		
99.000000	-467.992000		
99.500000	-468.250000		
100.000000	-468.470000		
100.500000	-469.283000		
101.000000	-473.135000		
101.500000	-480.393000		
102.000000	-485.595000		
102.500000	-490.989000		
103.000000	-495.516000		
103.500000	-498.650000		
104.000000	-501.595000		
104.500000	-503.977000		
105.000000	-506.421000		
105.500000	-507.734000		
106.000000	-508.925000		
106.500000	-510.453000		
107.000000	-512.361000		
107.500000	-512.746000		
108.000000	-513.754000		
108.500000	-515.457000		
109.000000	-516.195000		
109.500000	-516.557000		
110.000000	-517.067000		
110.500000	-518.155000		
111.000000	-519.225000		
111.500000	-519.904000		
112.000000	-520.046000		
112.500000	-520.391000		
113.000000	-521.284000		
113.500000	-522.038000		
114.000000	-522.488000		
114.500000	-523.051000		
115.000000	-523.918000		
115.500000	-524.577000		
116.000000	-525.044000		
116.500000	-525.309000		
117.000000	-525.655000		
117.500000	-526.347000		
118.000000	-526.783000		
118.500000	-526.994000		
119.000000	-527.468000		
119.500000	-527.829000		
120.000000	-528.296000		
120.500000	-528.744000		
121.000000	-529.395000		
121.500000	-529.975000		
122.000000	-529.771000		
122.500000	-529.972000		
123.000000	-530.200000		
123.500000	-530.506000		
124.000000	-530.881000		
124.500000	-531.301000		
125.000000	-531.313000		
125.500000	-531.662000		
126.000000	-532.379000		
126.500000	-533.187000		
127.000000	-532.846000		
127.500000	-533.003000		
128.000000	-532.991000		
128.500000	-533.149000		
129.000000	-533.359000		
129.500000	-533.908000		
130.000000	-534.324000		
130.500000	-534.500000		
131.000000	-534.541000		
131.500000	-534.651000		
132.000000	-535.099000		
132.500000	-535.007000		
133.000000	-535.513000		
133.500000	-535.900000		
134.000000	-535.622000		
134.500000	-535.826000		
135.000000	-535.691000		
135.500000	-535.422000		
136.000000	-535.843000		
136.500000	-536.695000		
137.000000	-536.914000		
137.500000	-537.080000		
138.000000	-537.195000		
138.500000	-537.025000		
139.000000	-537.266000		
139.500000	-538.000000		
140.000000	-538.468000		
140.500000	-538.677000		
141.000000	-538.466000		
141.500000	-538.663000		
142.000000	-538.612000		
142.500000	-538.361000		
143.000000	-538.486000		
143.500000	-538.940000		
144.000000	-539.370000		
144.500000	-539.534000		
145.000000	-540.043000		
145.500000	-540.370000		
146.000000	-540.466000		
146.500000	-540.100000		
147.000000	-539.541000		
147.500000	-539.798000		
148.000000	-540.263000		
148.500000	-540.746000		
149.000000	-540.878000		
149.500000	-541.495000		
150.000000	-541.672000		
150.500000	-541.662000		
151.000000	-541.324000		
151.500000	-541.331000		
152.000000	-541.220000		
152.500000	-541.182000		
153.000000	-541.246000		
153.500000	-541.342000		
154.000000	-541.550000		
154.500000	-541.742000		
155.000000	-542.251000		
155.500000	-542.277000		
156.000000	-542.474000		
156.500000	-542.449000		
157.000000	-542.341000		
157.500000	-541.910000		
158.000000	-542.091000		
158.500000	-542.292000		
159.000000	-542.586000		
159.500000	-543.416000		
160.000000	-543.746000		
160.500000	-544.245000		
161.000000	-543.956000		
161.500000	-544.055000		
162.000000	-543.879000		
162.500000	-543.602000		
163.000000	-543.567000		
163.500000	-543.715000		
164.000000	-543.800000		
164.500000	-543.381000		
165.000000	-543.566000		
165.500000	-543.998000		
166.000000	-544.579000		
166.500000	-544.923000		
167.000000	-544.934000		
167.500000	-544.898000		
168.000000	-544.892000		
168.500000	-545.026000		
169.000000	-545.098000		
169.500000	-545.031000		
170.000000	-545.017000		
170.500000	-544.969000		
171.000000	-545.083000		
171.500000	-544.762000		
172.000000	-544.543000		
172.500000	-544.796000		
173.000000	-545.249000		
173.500000	-545.347000		
174.000000	-545.198000		
174.500000	-545.502000		
175.000000	-545.516000		
175.500000	-545.453000		
176.000000	-545.974000		
176.500000	-546.124000		
177.000000	-546.181000		
177.500000	-546.452000		
178.000000	-546.821000		
178.500000	-546.951000		
179.000000	-547.095000		
179.500000	-546.799000		
180.000000	-546.708000		
180.500000	-546.194000		
181.000000	-546.551000		
181.500000	-546.545000		
182.000000	-546.608000		
182.500000	-546.629000		
183.000000	-546.528000		
183.500000	-546.312000		
184.000000	-546.007000		
184.500000	-546.222000		
185.000000	-546.322000		
185.500000	-546.362000		
186.000000	-546.177000		
186.500000	-546.236000		
187.000000	-546.435000		
187.500000	-546.377000		
188.000000	-546.441000		
188.500000	-546.957000		
189.000000	-546.676000		
189.500000	-546.468000		
190.000000	-546.871000		
190.500000	-547.098000		
191.000000	-547.317000		
191.500000	-547.292000		
192.000000	-547.248000		
192.500000	-547.286000		
193.000000	-547.396000		
193.500000	-547.468000		
194.000000	-547.253000		
194.500000	-547.117000		
195.000000	-547.520000		
195.500000	-547.725000		
196.000000	-547.780000		
196.500000	-547.722000		
197.000000	-547.665000		
197.500000	-548.000000		
198.000000	-548.104000		
198.500000	-548.199000		
199.000000	-548.334000		
199.500000	-548.237000		
200.000000	-548.189000		
200.500000	-548.157000		
201.000000	-548.243000		
201.500000	-548.806000		
202.000000	-548.658000		
202.500000	-548.630000		
203.000000	-548.512000		
203.500000	-548.461000		
204.000000	-548.285000		
204.500000	-548.271000		
205.000000	-548.341000		
205.500000	-548.417000		
206.000000	-548.509000		
206.500000	-548.532000		
207.000000	-548.444000		
207.500000	-548.340000		
208.000000	-548.222000		
208.500000	-547.935000		
209.000000	-547.717000		
209.500000	-547.914000		
210.000000	-548.077000		
210.500000	-548.265000		
211.000000	-548.347000		
211.500000	-548.222000		
212.000000	-547.931000		
212.500000	-548.152000		
213.000000	-548.047000		
213.500000	-548.430000		
214.000000	-548.531000		
214.500000	-548.807000		
215.000000	-548.447000		
215.500000	-548.662000		
216.000000	-548.826000		
216.500000	-549.216000		
217.000000	-549.222000		
217.500000	-549.144000		
218.000000	-549.365000		
218.500000	-549.637000		
219.000000	-549.745000		
219.500000	-550.046000		
220.000000	-550.501000		
220.500000	-550.150000		
221.000000	-550.075000		
221.500000	-549.928000		
222.000000	-549.654000		
222.500000	-549.522000		
223.000000	-549.520000		
223.500000	-549.564000		
224.000000	-549.407000		
224.500000	-549.624000		
225.000000	-549.485000		
225.500000	-549.401000		
226.000000	-549.240000		
226.500000	-549.123000		
227.000000	-549.347000		
227.500000	-549.724000		
228.000000	-550.004000		
228.500000	-549.720000		
229.000000	-549.667000		
229.500000	-549.768000		
230.000000	-550.382000		
230.500000	-550.312000		
231.000000	-549.993000		
231.500000	-549.654000		
232.000000	-549.605000		
232.500000	-549.403000		
233.000000	-549.271000		
233.500000	-549.564000		
234.000000	-549.784000		
234.500000	-549.304000		
235.000000	-549.494000		
235.500000	-549.739000		
236.000000	-549.556000		
236.500000	-549.684000		
237.000000	-549.865000		
237.500000	-549.869000		
238.000000	-550.361000		
238.500000	-550.467000		
239.000000	-550.342000		
239.500000	-550.602000		
240.000000	-550.379000		
240.500000	-550.233000		
241.000000	-549.665000		
241.500000	-549.617000		
242.000000	-549.829000		
242.500000	-549.804000		
243.000000	-550.002000		
243.500000	-550.179000		
244.000000	-550.263000		
244.500000	-550.475000		
245.000000	-550.220000		
245.500000	-549.865000		
246.000000	-549.738000		
246.500000	-549.925000		
247.000000	-549.683000		
247.500000	-549.546000		
248.000000	-549.684000		
248.500000	-550.016000		
249.000000	-550.200000		
249.500000	-550.723000		
250.000000	-550.955000		
250.500000	-550.806000		
251.000000	-550.617000		
251.500000	-550.414000		
252.000000	-550.510000		
252.500000	-550.280000		
253.000000	-550.252000		
253.500000	-550.101000		
254.000000	-549.709000		
254.500000	-550.025000		
255.000000	-550.535000		
255.500000	-550.431000		
256.000000	-550.242000		
256.500000	-549.993000		
257.000000	-550.375000		
257.500000	-550.411000		
258.000000	-550.192000		
258.500000	-550.082000		
259.000000	-550.133000		
259.500000	-550.590000		
260.000000	-550.928000		
260.500000	-550.676000		
261.000000	-550.509000		
261.500000	-550.714000		
262.000000	-550.509000		
262.500000	-550.028000		
263.000000	-550.016000		
263.500000	-550.059000		
264.000000	-550.140000		
264.500000	-550.020000		
265.000000	-550.182000		
265.500000	-550.172000		
266.000000	-550.592000		
266.500000	-550.591000		
267.000000	-550.375000		
267.500000	-549.950000		
268.000000	-549.999000		
268.500000	-550.396000		
269.000000	-551.178000		
269.500000	-551.499000		
270.000000	-551.206000		
270.500000	-551.107000		
271.000000	-550.830000		
271.500000	-550.420000		
272.000000	-550.669000		
272.500000	-550.737000		
273.000000	-550.797000		
273.500000	-550.766000		
274.000000	-550.761000		
274.500000	-550.786000		
275.000000	-550.647000		
275.500000	-550.108000		
276.000000	-550.453000		
276.500000	-550.735000		
277.000000	-550.930000		
277.500000	-551.325000		
278.000000	-551.231000		
278.500000	-550.639000		
279.000000	-550.033000		
279.500000	-549.659000		
280.000000	-549.934000		
280.500000	-550.239000		
281.000000	-550.711000		
281.500000	-551.143000		
282.000000	-551.048000		
282.500000	-550.660000		
283.000000	-550.098000		
283.500000	-550.617000		
284.000000	-550.833000		
284.500000	-550.953000		
285.000000	-551.112000		
285.500000	-551.038000		
286.000000	-550.553000		
286.500000	-550.205000		
287.000000	-549.696000		
287.500000	-550.243000		
288.000000	-550.348000		
288.500000	-550.394000		
289.000000	-550.517000		
289.500000	-550.559000		
290.000000	-550.606000		
290.500000	-550.605000		
291.000000	-550.592000		
291.500000	-551.165000		
292.000000	-551.180000		
292.500000	-551.214000		
293.000000	-550.706000		
293.500000	-550.552000		
294.000000	-550.527000		
294.500000	-550.634000		
295.000000	-550.915000		
295.500000	-550.599000		
296.000000	-550.378000		
296.500000	-550.385000		
297.000000	-550.469000		
297.500000	-550.723000		
298.000000	-550.694000		
298.500000	-550.722000		
299.000000	-550.380000		
299.500000	-550.485000		
300.000000	-550.630000		
300.500000	-550.666000		
301.000000	-550.987000		
301.500000	-551.412000		
302.000000	-551.070000		
302.500000	-550.802000		
303.000000	-550.731000		
303.500000	-550.902000		
304.000000	-551.382000		
304.500000	-551.244000		
305.000000	-551.118000		
305.500000	-551.038000		
306.000000	-550.496000		
306.500000	-550.684000		
307.000000	-550.879000		
307.500000	-551.079000		
308.000000	-550.821000		
308.500000	-550.466000		
309.000000	-550.561000		
309.500000	-550.926000		
310.000000	-550.791000		
310.500000	-550.800000		
311.000000	-550.517000		
311.500000	-550.732000		
312.000000	-550.763000		
312.500000	-550.822000		
313.000000	-550.516000		
313.500000	-550.136000		
314.000000	-550.177000		
314.500000	-550.399000		
315.000000	-551.125000		
315.500000	-551.024000		
316.000000	-550.981000		
316.500000	-550.608000		
317.000000	-550.186000		
317.500000	-550.401000		
318.000000	-550.751000		
318.500000	-551.057000		
319.000000	-550.518000		
319.500000	-550.225000		
320.000000	-550.372000		
320.500000	-550.891000		
321.000000	-551.237000		
321.500000	-550.792000		
322.000000	-550.561000		
322.500000	-550.684000		
323.000000	-550.750000		
323.500000	-550.329000		
324.000000	-550.201000		
324.500000	-550.182000		
325.000000	-549.945000		
325.500000	-550.515000		
326.000000	-551.084000		
326.500000	-551.067000		
327.000000	-550.605000		
327.500000	-550.309000		
328.000000	-550.392000		
328.500000	-550.751000		
329.000000	-550.800000		
329.500000	-550.516000		
330.000000	-550.613000		
330.500000	-551.004000		
331.000000	-550.851000		
331.500000	-550.716000		
332.000000	-550.792000		
332.500000	-551.116000		
333.000000	-551.487000		
333.500000	-551.204000		
334.000000	-550.928000		
334.500000	-550.767000		
335.000000	-550.494000		
335.500000	-550.927000		
336.000000	-551.021000		
336.500000	-551.216000		
337.000000	-550.716000		
337.500000	-550.163000		
338.000000	-550.459000		
338.500000	-550.796000		
339.000000	-550.591000		
339.500000	-550.398000		
340.000000	-550.200000		
340.500000	-550.531000		
341.000000	-550.296000		
341.500000	-549.954000		
342.000000	-549.899000		
