Date:	Tue, Nov 26, 2013		
measured by:	Rotem		
p-Si H, 1-10Ohm 5 Offset, 11 min 50 after, third spot no offset			
Time [s]	CPD stream	Light	SPV
0.000000	-549.019000		
0.500000	-548.940000		
1.001000	-548.928000		
1.500000	-548.631000		
2.000000	-548.546000		
2.500000	-548.684000		
3.000000	-548.677000		
3.500000	-548.539000		
4.000000	-548.318000		
4.500000	-548.388000		
5.000000	-548.433000		
5.500000	-548.310000		
6.000000	-548.271000		
6.500000	-548.375000		
7.000000	-548.333000		
7.500000	-548.169000		
8.000000	-548.191000		
8.501000	-548.215000		
9.000000	-548.280000		
9.500000	-548.027000		
10.001000	-547.965000		
10.500000	-547.860000		
11.001000	-547.622000		
11.500000	-547.325000		
12.001000	-547.278000		
12.501000	-547.227000		
13.001000	-547.467000		
13.501000	-547.677000		
14.001000	-547.500000		
14.501000	-547.294000		
15.001000	-547.296000		
15.501000	-547.419000		
16.001000	-547.285000		
16.501000	-547.164000		
17.001000	-546.695000		
17.501000	-546.864000		
18.001000	-546.683000		
18.501000	-546.956000		
19.001000	-546.983000		
19.501000	-547.037000		
20.001000	-547.013000		
20.501000	-547.025000		
21.001000	-546.866000		
21.501000	-546.547000		
22.001000	-546.591000		
22.501000	-546.284000		
23.001000	-546.410000		
23.501000	-546.296000		
24.001000	-546.379000		
24.501000	-546.112000		
25.001000	-546.011000		
25.501000	-546.127000		
26.001000	-545.980000		
26.501000	-545.963000		
27.001000	-546.154000		
27.501000	-546.472000		
28.001000	-546.738000		
28.501000	-546.493000		
29.001000	-546.149000		
29.500000	-545.971000		
30.000000	-546.130000		
30.500000	-546.075000		
31.000000	-546.006000		
31.500000	-545.937000		
32.000000	-545.903000		
32.500000	-545.852000		
33.000000	-545.417000		
33.500000	-545.319000		
34.000000	-545.876000		
34.500000	-545.933000		
35.000000	-546.032000		
35.500000	-546.064000		
36.000000	-545.866000		
36.500000	-545.802000		
37.000000	-545.742000		
37.500000	-545.719000		
38.000000	-545.520000		
38.500000	-545.303000		
39.000000	-545.533000		
39.500000	-545.693000		
40.000000	-545.486000		
40.500000	-545.525000		
41.000000	-545.651000		
41.500000	-545.507000		
42.000000	-545.619000		
42.500000	-545.617000		
43.000000	-545.540000		
43.500000	-545.492000		
44.000000	-545.255000		
44.500000	-545.182000		
45.000000	-545.319000		
45.500000	-545.354000		
46.000000	-545.610000		
46.500000	-545.447000		
47.000000	-545.340000		
47.500000	-545.198000		
48.000000	-544.851000		
48.500000	-544.897000		
49.000000	-545.082000		
49.500000	-544.923000		
50.000000	-545.205000		
50.500000	-545.146000		
51.000000	-545.012000		
51.500000	-544.940000		
52.000000	-545.025000		
52.500000	-545.228000		
53.000000	-545.247000		
53.500000	-545.022000		
54.000000	-544.923000		
54.500000	-544.841000		
55.000000	-544.993000		
55.500000	-544.886000		
56.000000	-544.559000		
56.500000	-544.176000		
57.000000	-544.366000		
57.500000	-544.552000		
58.000000	-544.492000		
58.500000	-544.179000		
59.000000	-544.343000		
59.500000	-544.596000		
60.000000	-544.408000		
60.500000	-544.241000		
61.000000	-544.469000		
61.500000	-544.309000		
62.001000	-544.294000		
62.500000	-543.999000		
63.000000	-544.227000		
63.500000	-544.536000		
64.000000	-544.395000		
64.500000	-544.334000		
65.000000	-544.058000		
65.500000	-543.941000		
66.000000	-543.767000		
66.500000	-543.797000		
67.000000	-543.888000		
67.500000	-544.159000		
68.000000	-544.280000		
68.500000	-544.038000		
69.000000	-544.310000		
69.500000	-544.374000		
70.000000	-544.278000		
70.500000	-544.170000		
71.000000	-544.023000		
71.500000	-543.733000		
72.000000	-543.545000		
72.500000	-543.377000		
73.000000	-543.512000		
73.500000	-543.377000		
74.000000	-543.609000		
74.500000	-543.560000		
75.000000	-543.791000		
75.500000	-543.830000		
76.000000	-543.955000		
76.500000	-544.106000		
77.000000	-543.618000		
77.500000	-543.734000		
78.000000	-543.824000		
78.500000	-543.787000		
79.000000	-543.666000		
79.500000	-543.417000		
80.000000	-543.338000		
80.500000	-543.112000		
81.000000	-543.277000		
81.500000	-543.204000		
