Date:	Tue, Nov 26, 2013		
measured by:	Rotem		
p-Si H, 1-10Ohm 5 Offset,
SPV: 38, 44, 50			
Time [s]	CPD stream	Light	SPV
0.000000	-471.795000		
0.499000	-471.808000		
1.000000	-472.187000		
1.499000	-472.689000		
2.000000	-472.422000		
2.499000	-472.408000		
2.999000	-472.502000		
3.499000	-472.163000		
3.999000	-472.205000		
4.499000	-472.255000		
4.999000	-472.117000		
5.499000	-472.477000		
5.999000	-472.551000		
6.499000	-472.761000		
6.999000	-472.550000		
7.500000	-472.442000		
7.999000	-472.464000		
8.499000	-472.354000		
8.999000	-472.714000		
9.499000	-472.415000		
9.999000	-472.173000		
10.499000	-472.199000		
10.999000	-472.182000		
11.499000	-472.226000		
11.999000	-471.967000		
12.499000	-471.882000		
12.999000	-471.814000		
13.499000	-472.451000		
13.999000	-472.574000		
14.499000	-472.244000		
14.999000	-472.191000		
15.499000	-471.943000		
16.000000	-471.975000		
16.499000	-472.342000		
16.999000	-472.237000		
17.499000	-472.185000		
18.000000	-472.615000		
18.499000	-472.662000		
18.999000	-472.577000		
19.500000	-472.446000		
20.000000	-472.088000		
20.500000	-471.713000		
21.000000	-471.584000		
21.499000	-471.915000		
21.999000	-471.827000		
22.499000	-472.281000		
22.999000	-472.635000		
23.499000	-472.328000		
23.999000	-472.455000		
24.499000	-472.518000		
24.999000	-472.777000		
25.499000	-420.949000		
25.999000	-308.752000		
26.499000	-220.312000		
26.999000	-149.815300		
27.499000	-118.349900		
27.999000	-95.572400		
28.499000	-82.018600		
28.999000	-76.241400		
29.499000	-69.972300		
29.999000	-65.732900		
30.499000	-63.541200		
30.999000	-61.921900		
31.499000	-60.857300		
31.999000	-60.072100		
32.499000	-59.280100		
32.999000	-58.908700		
33.499000	-58.231400		
33.999000	-57.884500		
34.499000	-57.562600		
34.999000	-57.244100		
35.499000	-56.752300		
35.999000	-56.255800		
36.499000	-56.202800		
36.999000	-55.729300		
37.499000	-55.309400		
37.999000	-55.222500		
38.499000	-55.069000		
38.999000	-54.832700		
39.499000	-54.355700		
39.999000	-54.209000		
40.499000	-54.095200		
40.999000	-54.084300		
41.499000	-54.159200		
41.999000	-53.902400		
42.499000	-53.881700		
42.999000	-53.548100		
43.499000	-53.252200		
43.999000	-52.970700		
44.499000	-52.790500		
44.999000	-52.293600		
45.499000	-52.527900		
45.999000	-52.505000		
46.499000	-51.887300		
46.999000	-51.677000		
47.499000	-51.491500		
47.999000	-50.828000		
48.499000	-51.176600		
48.999000	-51.189200		
49.499000	-51.008500		
49.999000	-50.779800		
50.499000	-51.152800		
50.999000	-51.047700		
51.499000	-50.799700		
51.999000	-50.772600		
52.499000	-50.803300		
52.999000	-50.684900		
53.499000	-50.491800		
53.999000	-50.162900		
54.499000	-49.821600		
54.999000	-49.854900		
55.499000	-49.925500		
55.999000	-49.349200		
56.499000	-49.296500		
56.999000	-49.216200		
57.499000	-49.128600		
57.999000	-48.654500		
58.499000	-48.492500		
58.999000	-48.674300		
59.499000	-48.659200		
59.999000	-48.618400		
60.499000	-48.628200		
60.999000	-47.306900		
61.499000	-44.351800		
61.999000	-41.690400		
62.499000	-39.817100		
62.999000	-38.877400		
63.499000	-37.729100		
63.999000	-36.790900		
64.499000	-36.012300		
64.999000	-35.541300		
65.499000	-35.174800		
65.999000	-34.802300		
66.499000	-33.981100		
66.999000	-33.576700		
67.499000	-33.245900		
67.999000	-32.725700		
68.499000	-32.782100		
68.999000	-32.691400		
69.499000	-32.327600		
69.999000	-31.516300		
70.499000	-31.030000		
70.999000	-30.896800		
71.499000	-30.792000		
71.999000	-30.458300		
72.499000	-30.662200		
72.999000	-30.301900		
73.499000	-29.861800		
73.999000	-29.665300		
74.499000	-29.180200		
74.999000	-29.094200		
75.499000	-28.480000		
75.999000	-27.838600		
76.499000	-27.295600		
76.999000	-25.780300		
77.499000	-24.016200		
77.999000	-22.504200		
78.499000	-21.557500		
78.999000	-20.719400		
79.499000	-20.179200		
79.999000	-19.698000		
80.499000	-18.890400		
80.999000	-18.294000		
81.499000	-17.584900		
81.999000	-16.722400		
82.499000	-16.239600		
82.999000	-15.949600		
83.499000	-15.763600		
83.999000	-15.386700		
84.499000	-15.013000		
84.999000	-14.655500		
85.499000	-14.236500		
85.999000	-13.945600		
86.499000	-13.076300		
86.999000	-12.520200		
87.499000	-11.815800		
87.999000	-11.587300		
88.499000	-11.181700		
88.999000	-11.160000		
89.499000	-10.932300		
89.999000	-10.667800		
90.499000	-9.941100		
90.999000	-9.377000		
91.499000	-9.447200		
91.999000	-9.402100		
92.499000	-8.459900		
92.999000	-7.846000		
93.499000	-7.510600		
93.999000	-7.657300		
94.499000	-7.434800		
94.999000	-6.904800		
95.499000	-6.515200		
95.999000	-6.195500		
96.499000	-11.351000		
96.999000	-35.048000		
97.499000	-68.391500		
97.999000	-98.103200		
98.499000	-134.691400		
98.999000	-186.884000		
99.499000	-233.281000		
99.999000	-276.874000		
100.499000	-316.587000		
100.999000	-355.305000		
101.499000	-378.583000		
101.999000	-396.817000		
102.499000	-409.059000		
102.999000	-417.942000		
103.499000	-424.656000		
103.999000	-429.488000		
104.499000	-432.628000		
104.999000	-434.643000		
105.499000	-436.302000		
105.999000	-437.317000		
106.499000	-437.912000		
106.999000	-438.496000		
107.499000	-438.899000		
107.999000	-439.220000		
108.499000	-439.896000		
108.999000	-440.180000		
109.499000	-440.531000		
109.999000	-440.502000		
110.499000	-440.322000		
110.999000	-440.152000		
111.499000	-440.218000		
111.999000	-440.714000		
112.499000	-441.135000		
112.999000	-441.088000		
113.499000	-440.931000		
113.999000	-440.982000		
114.499000	-441.109000		
114.999000	-441.403000		
115.499000	-441.594000		
115.999000	-441.210000		
116.499000	-441.111000		
116.999000	-441.418000		
117.499000	-441.435000		
117.999000	-441.135000		
118.499000	-441.163000		
118.999000	-441.159000		
119.499000	-441.268000		
119.999000	-441.384000		
120.499000	-441.216000		
120.999000	-440.850000		
121.499000	-441.187000		
121.999000	-441.160000		
122.499000	-440.961000		
122.999000	-440.614000		
123.499000	-440.761000		
123.999000	-440.916000		
124.499000	-440.528000		
124.999000	-440.631000		
125.499000	-441.153000		
125.999000	-441.390000		
