Date:	Wed, Dec 25, 2013		
measured by:	Rotem		
Nir's alumina sample			
Time [s]	CPD stream	Light	SPV
0.000000	-614.137000		
0.500000	-614.166000		
1.000000	-614.191000		
1.500000	-614.020000		
2.000000	-614.169000		
2.500000	-614.143000		
3.000000	-613.944000		
3.500000	-614.169000		
4.000000	-613.967000		
4.500000	-613.585000		
4.999000	-613.982000		
5.500000	-614.081000		
6.000000	-613.801000		
6.500000	-613.825000		
7.000000	-613.727000		
7.500000	-613.898000		
8.000000	-613.948000		
8.500000	-613.785000		
9.000000	-613.808000		
9.499000	-613.842000		
10.000000	-613.749000		
10.500000	-613.935000		
11.000000	-613.993000		
11.500000	-613.615000		
12.000000	-613.962000		
12.500000	-613.670000		
13.000000	-613.764000		
13.500000	-613.818000		
14.000000	-613.527000		
14.500000	-613.352000		
15.000000	-613.784000		
15.500000	-614.028000		
16.000000	-613.856000		
16.500000	-614.022000		
17.000000	-613.984000		
17.500000	-613.580000		
18.000000	-613.968000		
18.500000	-613.900000		
19.000000	-614.065000		
19.500000	-613.968000		
20.000000	-613.928000		
20.500000	-613.905000		
21.000000	-613.776000		
21.499000	-613.672000		
22.000000	-614.012000		
22.500000	-614.208000		
23.000000	-613.984000		
23.500000	-614.085000		
24.000000	-614.200000		
24.500000	-613.992000		
25.000000	-614.080000		
25.500000	-614.303000		
26.000000	-614.040000		
26.500000	-613.928000		
27.000000	-614.122000		
27.500000	-613.902000		
28.000000	-614.165000		
28.500000	-614.137000		
29.000000	-613.994000		
29.500000	-613.976000		
30.000000	-614.327000		
30.500000	-614.164000		
31.000000	-614.130000		
31.500000	-613.863000		
32.000000	-613.948000		
32.500000	-613.708000		
33.000000	-613.932000		
33.500000	-613.670000		
34.000000	-613.725000		
34.500000	-613.648000		
35.000000	-613.496000		
35.500000	-613.710000		
36.000000	-613.760000		
36.500000	-613.748000		
37.000000	-613.854000		
37.500000	-614.087000		
38.000000	-613.866000		
38.500000	-614.033000		
39.000000	-614.029000		
39.500000	-613.606000		
40.000000	-613.968000		
40.500000	-613.957000		
41.000000	-613.864000		
41.499000	-613.981000		
42.000000	-613.557000		
42.500000	-613.824000		
43.000000	-614.011000		
43.500000	-613.656000		
44.000000	-613.190000		
44.500000	-613.574000		
45.000000	-613.698000		
45.500000	-613.701000		
46.000000	-613.797000		
46.500000	-613.566000		
47.000000	-613.256000		
47.500000	-613.791000		
48.000000	-613.808000		
48.500000	-613.405000		
49.000000	-613.320000		
49.500000	-613.352000		
50.000000	-613.102000		
50.500000	-613.130000		
51.000000	-613.183000		
51.500000	-613.480000		
52.000000	-613.591000		
52.500000	-613.161000		
53.000000	-613.221000		
53.500000	-613.276000		
54.000000	-613.023000		
54.500000	-613.073000		
55.000000	-613.790000		
55.500000	-614.022000		
56.000000	-613.661000		
56.500000	-613.730000		
57.000000	-613.681000		
57.500000	-614.136000		
58.000000	-613.787000		
58.500000	-613.592000		
59.000000	-613.838000		
59.500000	-613.681000		
60.000000	-613.567000		
60.500000	-613.701000		
61.000000	-613.560000		
61.500000	-613.621000		
62.000000	-613.709000		
62.500000	-616.818000		
63.000000	-847.975000		
63.500000	-1013.941000		
64.000000	-1049.745000		
64.500000	-1055.999000		
65.000000	-1057.542000		
65.500000	-1059.142000		
66.000000	-1059.523000		
66.500000	-1059.651000		
67.000000	-1058.972000		
67.500000	-1059.131000		
68.000000	-1059.242000		
68.500000	-1059.112000		
69.000000	-1058.962000		
69.500000	-1058.917000		
70.000000	-1058.982000		
70.500000	-1058.687000		
71.000000	-1058.720000		
71.500000	-1069.626000		
72.000000	-1092.786000		
72.500000	-1101.172000		
73.000000	-1101.601000		
73.500000	-1101.257000		
74.000000	-1101.022000		
74.500000	-1100.866000		
75.000000	-1100.544000		
75.500000	-1100.358000		
76.000000	-1100.512000		
76.500000	-1100.292000		
77.000000	-1099.613000		
77.500000	-1099.350000		
78.000000	-1099.413000		
78.500000	-1099.188000		
79.000000	-1099.117000		
79.500000	-1101.227000		
80.000000	-1114.412000		
80.500000	-1119.319000		
81.000000	-1118.391000		
81.500000	-1117.290000		
82.000000	-1116.370000		
82.500000	-1115.700000		
83.000000	-1115.015000		
83.500000	-1114.213000		
84.000000	-1113.527000		
84.500000	-1112.852000		
85.000000	-1112.003000		
85.500000	-1111.756000		
86.000000	-1114.997000		
86.500000	-1116.583000		
87.000000	-1115.427000		
87.500000	-1114.553000		
88.000000	-1113.721000		
88.500000	-1113.137000		
89.000000	-1112.842000		
89.500000	-1112.406000		
90.000000	-1111.716000		
90.500000	-1111.111000		
91.000000	-1110.361000		
91.500000	-1109.687000		
92.000000	-1109.599000		
92.500000	-1109.427000		
93.000000	-1109.467000		
93.500000	-1109.021000		
94.000000	-1107.942000		
94.500000	-1106.608000		
95.000000	-1105.635000		
95.500000	-1104.651000		
96.000000	-1103.478000		
96.500000	-1102.556000		
97.000000	-1101.535000		
97.500000	-1089.999000		
98.000000	-1005.664000		
98.500000	-898.423000		
99.000000	-779.120000		
99.500000	-700.795000		
100.000000	-648.455000		
100.500000	-615.324000		
101.000000	-599.369000		
101.500000	-592.299000		
102.000000	-587.981000		
102.500000	-585.571000		
103.000000	-584.425000		
103.500000	-583.700000		
104.000000	-583.528000		
104.500000	-582.978000		
105.000000	-583.120000		
