Date:	Sun, Jan 19, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-734.952000		
0.500000	-735.134000		
1.000000	-735.539000		
1.500000	-735.616000		
2.000000	-735.720000		
2.503000	-735.972000		
3.000000	-736.135000		
3.500000	-735.961000		
4.000000	-735.895000		
4.500000	-736.268000		
5.000000	-736.427000		
5.500000	-735.960000		
6.000000	-736.182000		
6.500000	-736.576000		
7.000000	-736.571000		
7.500000	-736.286000		
8.000000	-736.406000		
8.500000	-736.607000		
9.000000	-736.949000		
9.500000	-736.977000		
10.000000	-736.954000		
10.500000	-737.006000		
11.000000	-737.163000		
11.500000	-737.227000		
12.000000	-737.446000		
12.500000	-737.283000		
13.000000	-737.176000		
13.500000	-737.636000		
14.000000	-738.276000		
14.500000	-738.042000		
15.000000	-737.962000		
15.500000	-737.798000		
16.000000	-737.628000		
16.500000	-737.516000		
17.000000	-737.621000		
17.500000	-737.697000		
18.000000	-738.001000		
18.500000	-737.953000		
19.000000	-738.267000		
19.500000	-738.533000		
20.000000	-738.774000		
20.500000	-738.824000		
21.000000	-739.016000		
21.500000	-738.819000		
22.000000	-738.724000		
22.500000	-738.746000		
23.000000	-739.011000		
23.500000	-739.017000		
24.000000	-738.963000		
24.500000	-739.148000		
25.000000	-739.426000		
25.500000	-739.465000		
26.000000	-739.848000		
26.500000	-739.859000		
27.000000	-739.767000		
27.500000	-739.972000		
28.000000	-740.407000		
28.500000	-740.442000		
29.000000	-740.291000		
29.500000	-740.360000		
30.000000	-740.128000		
30.500000	-739.822000		
31.000000	-740.207000		
31.500000	-740.506000		
32.000000	-740.534000		
32.500000	-740.674000		
33.000000	-740.581000		
33.500000	-740.876000		
34.000000	-741.179000		
34.500000	-741.199000		
35.000000	-741.207000		
35.500000	-741.134000		
36.000000	-741.046000		
36.500000	-741.046000		
37.000000	-741.406000		
37.500000	-741.720000		
38.000000	-741.983000		
38.500000	-742.049000		
39.000000	-742.325000		
39.500000	-742.409000		
40.000000	-742.778000		
40.500000	-742.874000		
41.000000	-742.577000		
41.500000	-742.294000		
42.000000	-742.634000		
42.500000	-742.645000		
43.000000	-743.011000		
43.500000	-742.859000		
44.000000	-742.839000		
44.500000	-742.666000		
45.000000	-742.604000		
45.500000	-743.013000		
46.000000	-743.090000		
46.500000	-743.173000		
47.000000	-742.933000		
47.500000	-743.124000		
48.000000	-743.269000		
48.500000	-743.264000		
49.000000	-743.502000		
49.500000	-743.903000		
50.000000	-745.103000		
50.500000	-747.099000		
51.000000	-748.833000		
51.500000	-750.848000		
52.000000	-752.470000		
52.500000	-753.581000		
53.000000	-754.428000		
53.500000	-755.106000		
54.000000	-755.913000		
54.500000	-756.989000		
55.000000	-757.314000		
55.500000	-757.915000		
56.000000	-758.209000		
56.500000	-758.637000		
57.000000	-758.995000		
57.500000	-759.332000		
58.000000	-759.730000		
58.500000	-759.883000		
59.000000	-759.954000		
59.500000	-760.399000		
60.000000	-760.727000		
60.500000	-760.976000		
61.000000	-762.207000		
61.500000	-764.255000		
62.000000	-765.910000		
62.500000	-767.691000		
63.000000	-768.884000		
63.500000	-769.738000		
64.000000	-770.872000		
64.500000	-772.338000		
65.000000	-773.428000		
65.500000	-773.868000		
66.000000	-774.221000		
66.500000	-774.597000		
67.000000	-774.882000		
67.500000	-774.992000		
68.000000	-775.244000		
68.500000	-775.904000		
69.000000	-776.194000		
69.500000	-776.427000		
70.000000	-776.699000		
70.500000	-776.808000		
71.000000	-777.399000		
71.500000	-777.738000		
72.000000	-777.826000		
72.500000	-777.794000		
73.000000	-777.514000		
73.500000	-777.796000		
74.000000	-777.703000		
74.500000	-777.500000		
75.000000	-777.995000		
75.500000	-778.404000		
76.000000	-778.130000		
76.500000	-778.213000		
77.000000	-778.355000		
77.500000	-778.516000		
78.000000	-778.387000		
78.500000	-778.260000		
79.000000	-778.322000		
79.500000	-778.457000		
80.000000	-778.696000		
80.500000	-778.795000		
81.000000	-779.061000		
81.500000	-779.115000		
82.000000	-779.068000		
82.500000	-778.995000		
83.000000	-778.923000		
83.500000	-779.080000		
84.000000	-779.019000		
84.500000	-779.392000		
85.000000	-779.801000		
85.500000	-779.920000		
86.000000	-779.608000		
86.500000	-779.789000		
87.000000	-780.031000		
87.500000	-780.310000		
88.000000	-780.430000		
88.500000	-780.061000		
89.000000	-779.765000		
89.500000	-779.946000		
90.000000	-779.563000		
90.500000	-779.144000		
91.000000	-779.026000		
91.500000	-778.637000		
92.000000	-777.853000		
92.500000	-776.439000		
93.000000	-775.277000		
93.500000	-773.607000		
94.000000	-772.285000		
94.500000	-771.187000		
95.000000	-770.190000		
95.500000	-769.233000		
96.000000	-768.162000		
96.500000	-766.810000		
97.000000	-765.803000		
97.500000	-765.155000		
98.000000	-764.773000		
98.500000	-764.922000		
99.000000	-764.943000		
99.500000	-764.837000		
100.000000	-765.019000		
100.500000	-765.297000		
101.000000	-765.211000		
101.500000	-765.175000		
102.000000	-765.443000		
102.500000	-765.325000		
103.000000	-765.426000		
103.500000	-765.487000		
104.000000	-764.934000		
104.500000	-764.435000		
105.000000	-763.438000		
105.500000	-762.354000		
106.000000	-761.622000		
106.500000	-761.099000		
107.000000	-760.774000		
107.500000	-760.134000		
108.000000	-759.666000		
108.500000	-759.322000		
109.000000	-758.900000		
109.500000	-758.752000		
110.000000	-758.320000		
110.500000	-758.046000		
111.000000	-757.687000		
111.500000	-757.598000		
112.000000	-757.226000		
112.500000	-756.817000		
113.000000	-756.998000		
113.500000	-757.283000		
114.000000	-756.902000		
114.500000	-756.200000		
115.000000	-755.907000		
115.500000	-756.101000		
116.000000	-756.116000		
116.500000	-755.948000		
117.000000	-755.951000		
117.500000	-755.856000		
118.000000	-755.934000		
118.500000	-755.735000		
119.000000	-755.719000		
119.500000	-755.889000		
120.000000	-755.692000		
120.500000	-755.420000		
121.000000	-755.255000		
121.500000	-754.783000		
122.000000	-754.238000		
122.500000	-754.091000		
123.000000	-754.356000		
123.500000	-754.121000		
