Date:	Sun, Nov 17, 2013			
HOPG cleaved within, 2nd spot.				
Time	CPD	Change	Slope	Comments
				
26.0	-1.1764	0.0050	0.0049	
26.5	-1.1756	0.0053	0.0049	
26.5	-1.1756	0.0053	0.0049	
27.0	-1.1767	0.0053	0.0049	
27.0	-1.1767	0.0053	0.0049	
27.0	-1.1767	0.0053	0.0049	
27.5	-1.1768	0.0052	0.0049	
28.0	-1.1775	0.0050	0.0049	
28.5	-1.1774	0.0048	0.0049	
28.5	-1.1774	0.0048	0.0049	
28.5	-1.1774	0.0048	0.0049	
31.5	-1.1777	0.0033	0.0049	
31.5	-1.1777	0.0033	0.0049	
32.0	-1.1775	0.0033	0.0049	
32.0	-1.1775	0.0033	0.0049	
32.5	-1.1776	0.0031	0.0049	
32.5	-1.1776	0.0031	0.0049	
32.5	-1.1776	0.0031	0.0049	
33.0	-1.1775	0.0030	0.0049	
33.0	-1.1775	0.0030	0.0049	
33.0	-1.1775	0.0030	0.0049	
33.5	-1.1775	0.0030	0.0049	
33.5	-1.1775	0.0030	0.0049	
33.5	-1.1775	0.0030	0.0049	
34.0	-1.1782	0.0028	0.0049	
34.0	-1.1782	0.0028	0.0049	
34.0	-1.1782	0.0028	0.0049	
34.5	-1.1777	0.0027	0.0049	
34.5	-1.1777	0.0027	0.0049	
35.0	-1.1765	0.0027	0.0049	
35.0	-1.1765	0.0027	0.0049	
35.0	-1.1765	0.0027	0.0049	
35.5	-1.1756	0.0029	0.0049	
35.5	-1.1756	0.0029	0.0049	
36.0	-1.1749	0.0032	0.0053	
36.5	-1.1749	0.0034	0.0053	
36.5	-1.1749	0.0034	0.0053	
36.5	-1.1749	0.0034	0.0053	
37.0	-1.1759	0.0035	0.0053	
37.0	-1.1759	0.0035	0.0053	
37.5	-1.1766	0.0035	0.0053	
37.5	-1.1766	0.0035	0.0053	
37.5	-1.1766	0.0035	0.0053	
38.0	-1.1753	0.0036	0.0053	
38.0	-1.1753	0.0036	0.0053	
