Date:	Mon, Nov 18, 2013			
SiH low res (1-5mOhm) in box 5min after etch measurement started 7min after etch				
Time	CPD	Change	Slope	Comments
				
27.0	-1.4457	-0.0029	0.0026	
27.5	-1.4454	-0.0029	0.0026	
27.5	-1.4454	-0.0029	0.0026	
27.5	-1.4454	-0.0029	0.0026	
31.5	-1.4463	-0.0036	0.0029	
31.5	-1.4463	-0.0036	0.0029	
32.0	-1.4465	-0.0037	0.0029	
32.0	-1.4465	-0.0037	0.0029	
32.0	-1.4465	-0.0037	0.0029	
32.5	-1.4465	-0.0038	0.0029	
32.5	-1.4465	-0.0038	0.0029	
32.5	-1.4465	-0.0038	0.0029	
33.0	-1.4463	-0.0039	0.0029	
33.0	-1.4463	-0.0039	0.0029	
33.0	-1.4463	-0.0039	0.0029	
33.5	-1.4462	-0.0039	0.0029	
33.5	-1.4462	-0.0039	0.0029	
33.5	-1.4462	-0.0039	0.0029	
34.0	-1.4460	-0.0039	0.0029	
34.0	-1.4460	-0.0039	0.0029	
34.0	-1.4460	-0.0039	0.0029	
34.5	-1.4462	-0.0039	0.0029	
37.5	-1.4463	-0.0040	0.0030	
39.5	-1.4464	-0.0040	0.0030	
40.5	-1.4463	-0.0040	0.0030	
42.5	-1.4462	-0.0039	0.0030	
43.5	-1.4465	-0.0038	0.0030	
45.5	-1.4463	-0.0037	0.0030	
49.5	-1.4456	-0.0032	0.0030	
52.0	-1.4461	-0.0030	0.0030	
56.0	-1.4463	-0.0028	0.0030	
58.5	-1.4469	-0.0029	0.0035	
60.5	-1.4469	-0.0028	0.0035	
62.0	-1.4478	-0.0028	0.0039	
64.5	-1.4477	-0.0029	0.0038	
89.0	-1.4484	-0.0020	0.0030	
89.5	-1.4481	-0.0020	0.0030	
91.5	-1.4477	-0.0021	0.0030	
92.5	-1.4478	-0.0021	0.0030	
94.0	-1.4485	-0.0021	0.0030	
95.5	-1.4488	-0.0022	0.0032	
98.5	-1.4486	-0.0024	0.0032	
100.0	-1.4480	-0.0025	0.0032	
101.0	-1.4482	-0.0025	0.0032	
102.0	-1.4485	-0.0025	0.0032	
103.0	-1.4486	-0.0025	0.0032	
104.0	-1.4487	-0.0025	0.0032	
105.0	-1.4487	-0.0025	0.0032	
105.5	-1.4487	-0.0025	0.0032	
107.0	-1.4491	-0.0025	0.0035	
107.5	-1.4490	-0.0025	0.0035	
109.0	-1.4486	-0.0024	0.0035	
110.0	-1.4486	-0.0023	0.0030	
111.0	-1.4483	-0.0022	0.0030	
112.1	-1.4483	-0.0021	0.0030	
113.0	-1.4483	-0.0020	0.0030	
114.0	-1.4485	-0.0020	0.0030	
115.0	-1.4489	-0.0019	0.0030	
116.5	-1.4486	-0.0018	0.0025	
117.5	-1.4492	-0.0018	0.0026	
118.5	-1.4493	-0.0018	0.0027	
120.0	-1.4490	-0.0018	0.0027	
121.0	-1.4494	-0.0018	0.0028	
477.0	-1.4552	-0.0006	0.0021	
478.5	-1.4551	-0.0006	0.0021	
480.0	-1.4550	-0.0006	0.0021	
481.5	-1.4546	-0.0006	0.0021	
483.5	-1.4549	-0.0005	0.0021	
484.5	-1.4549	-0.0005	0.0021	
486.0	-1.4552	-0.0004	0.0021	
487.5	-1.4551	-0.0004	0.0018	
504.0	-1.4550	-0.0005	0.0019	
506.0	-1.4548	-0.0005	0.0019	
507.5	-1.4553	-0.0006	0.0019	
509.5	-1.4547	-0.0006	0.0019	
511.0	-1.4552	-0.0006	0.0019	
513.0	-1.4552	-0.0006	0.0019	
515.0	-1.4556	-0.0005	0.0017	
516.5	-1.4554	-0.0006	0.0017	
1795.0	-1.4596	0.0006	0.0021	
1795.5	-1.4594	0.0006	0.0021	
1796.5	-1.4594	0.0008	0.0021	
1797.0	-1.4595	0.0008	0.0021	
1797.5	-1.4595	0.0009	0.0021	
1798.0	-1.4597	0.0010	0.0021	
1798.5	-1.4597	0.0010	0.0021	
1799.0	-1.4598	0.0010	0.0021	
1799.5	-1.4597	0.0010	0.0021	
1800.0	-1.4595	0.0010	0.0021	
1800.0	-1.4595	0.0010	0.0021	
1800.5	-1.4598	0.0010	0.0021	
1801.0	-1.4598	0.0009	0.0021	
1802.5	-1.4596	0.0010	0.0021	
1802.5	-1.4596	0.0010	0.0021	
1803.5	-1.4598	0.0010	0.0021	
