Date:	Mon, Nov 18, 2013			
hopg in				
Time	CPD	Change	Slope	Comments
				
14.0	-1.0636	-0.0044	0.0020	
15.5	-1.0640	-0.0043	0.0020	
16.5	-1.0634	-0.0039	0.0020	
17.5	-1.0628	-0.0028	0.0020	
18.5	-1.0634	-0.0023	0.0020	
20.0	-1.0636	-0.0023	0.0020	
21.0	-1.0633	-0.0020	0.0020	
22.5	-1.0636	-0.0018	0.0020	
23.0	-1.0639	-0.0018	0.0020	
23.6	-1.0636	-0.0018	0.0020	
25.5	-1.0638	-0.0018	0.0020	
26.0	-1.0635	-0.0018	0.0020	
27.0	-1.0639	-0.0017	0.0020	
28.0	-1.0640	-0.0017	0.0020	
29.0	-1.0634	-0.0016	0.0020	
30.0	-1.0635	-0.0014	0.0020	
31.5	-1.0636	-0.0012	0.0020	
32.5	-1.0642	-0.0013	0.0020	
33.0	-1.0643	-0.0014	0.0022	
34.5	-1.0642	-0.0015	0.0022	
35.0	-1.0641	-0.0015	0.0022	
