Date:	Mon, Nov 18, 2013			
hopg out, same piece different spot				
Time	CPD	Change	Slope	Comments
				
3.5	-1.1076	0.0120	0.0009	
4.0	-1.1082	0.0037	0.0011	
4.5	-1.1088	-0.0049	0.0017	
5.0	-1.1088	-0.0091	0.0017	
6.0	-1.1080	-0.0079	0.0017	
6.5	-1.1076	-0.0052	0.0017	
7.5	-1.1085	-0.0049	0.0017	
8.0	-1.1088	-0.0061	0.0017	
8.5	-1.1092	-0.0077	0.0021	
9.0	-1.1089	-0.0083	0.0021	
9.5	-1.1088	-0.0083	0.0021	
10.5	-1.1083	-0.0068	0.0021	
11.0	-1.1083	-0.0062	0.0021	
11.5	-1.1087	-0.0062	0.0021	
12.5	-1.1086	-0.0057	0.0021	
13.0	-1.1084	-0.0053	0.0021	
13.5	-1.1079	-0.0045	0.0021	
14.1	-1.1074	-0.0034	0.0021	
15.0	-1.1078	-0.0021	0.0021	
15.5	-1.1082	-0.0019	0.0021	
16.0	-1.1086	-0.0020	0.0021	
16.5	-1.1086	-0.0021	0.0021	
17.5	-1.1083	-0.0021	0.0021	
18.0	-1.1083	-0.0020	0.0021	
18.5	-1.1082	-0.0019	0.0021	
19.0	-1.1088	-0.0020	0.0021	
19.5	-1.1089	-0.0022	0.0021	
20.5	-1.1089	-0.0025	0.0021	
21.0	-1.1083	-0.0023	0.0021	
32.5	-1.1092	-0.0017	0.0022	
33.0	-1.1090	-0.0017	0.0022	
33.5	-1.1086	-0.0017	0.0022	
34.0	-1.1084	-0.0016	0.0022	
34.5	-1.1079	-0.0015	0.0022	
35.0	-1.1083	-0.0014	0.0022	
35.5	-1.1086	-0.0014	0.0022	
61.5	-1.1097	-0.0019	0.0034	
62.0	-1.1098	-0.0019	0.0034	
62.5	-1.1096	-0.0018	0.0034	
63.0	-1.1095	-0.0018	0.0034	
63.5	-1.1097	-0.0017	0.0030	
64.0	-1.1096	-0.0017	0.0030	
64.5	-1.1102	-0.0017	0.0030	
65.0	-1.1102	-0.0017	0.0030	
65.0	-1.1102	-0.0017	0.0030	
65.5	-1.1098	-0.0018	0.0030	
66.0	-1.1098	-0.0018	0.0030	
