Date:	Tue, Nov 12, 2013			
HOPG cleaved within glove box				
Time	CPD	Change	Slope	Comments
58.6	-1.0141	0.0020	0.0048	
59.5	-1.0144	0.0020	0.0048	
60.0	-1.0146	0.0020	0.0048	
60.5	-1.0140	0.0020	0.0048	
60.5	-1.0140	0.0020	0.0048	
65.0	-1.0129	0.0026	0.0049	
65.5	-1.0137	0.0026	0.0049	
65.5	-1.0137	0.0026	0.0049	
65.5	-1.0137	0.0026	0.0049	
66.0	-1.0149	0.0026	0.0049	
66.0	-1.0149	0.0026	0.0049	
67.0	-1.0153	0.0025	0.0049	
67.0	-1.0153	0.0025	0.0049	
67.5	-1.0144	0.0025	0.0049	
67.5	-1.0144	0.0025	0.0049	
67.5	-1.0144	0.0025	0.0049	
68.0	-1.0144	0.0024	0.0049	
68.0	-1.0144	0.0024	0.0049	
68.0	-1.0144	0.0024	0.0049	
68.5	-1.0146	0.0023	0.0049	
68.5	-1.0146	0.0023	0.0049	
68.5	-1.0146	0.0023	0.0049	
69.0	-1.0139	0.0023	0.0049	
69.0	-1.0139	0.0023	0.0049	
69.0	-1.0139	0.0023	0.0049	
69.5	-1.0142	0.0022	0.0049	
69.5	-1.0142	0.0022	0.0049	
69.5	-1.0142	0.0022	0.0049	
70.0	-1.0145	0.0021	0.0045	
70.0	-1.0145	0.0021	0.0045	
70.0	-1.0145	0.0021	0.0045	
70.0	-1.0145	0.0021	0.0045	
73.0	-1.0135	0.0021	0.0045	
73.0	-1.0135	0.0021	0.0045	
73.0	-1.0135	0.0021	0.0045	
73.0	-1.0135	0.0021	0.0045	
