Date:	Wed, Nov 13, 2013			
HOPG cleaved within after air				
Time	CPD	Change	Slope	Comments
				
89.6	-1.0558	-0.0018	0.0123	
90.0	-1.0553	-0.0016	0.0123	
90.5	-1.0540	-0.0015	0.0123	
92.0	-1.0554	-0.0014	0.0123	
93.0	-1.0567	-0.0014	0.0123	
94.0	-1.0537	-0.0009	0.0123	
94.5	-1.0554	-0.0008	0.0123	
95.5	-1.0579	-0.0007	0.0123	
96.0	-1.0588	-0.0008	0.0123	
97.0	-1.0605	-0.0012	0.0126	
98.0	-1.0605	-0.0016	0.0131	
98.5	-1.0604	-0.0016	0.0131	
99.5	-1.0598	-0.0016	0.0131	
100.0	-1.0594	-0.0016	0.0131	
101.0	-1.0591	-0.0016	0.0131	
101.5	-1.0596	-0.0017	0.0131	
102.5	-1.0574	-0.0017	0.0131	
104.0	-1.0533	-0.0014	0.0131	
105.0	-1.0579	-0.0016	0.0131	
109.5	-1.0565	-0.0010	0.0131	
110.5	-1.0566	-0.0006	0.0131	
111.5	-1.0546	-0.0003	0.0131	
113.0	-1.0596	-0.0006	0.0131	
