Date:	Wed, Nov 13, 2013			
HOPG cleaved in air!				
Time	CPD	Change	Slope	Comments
				
71.5	-1.1036	0.0037	0.0087	
72.0	-1.1036	0.0039	0.0087	
72.5	-1.1039	0.0040	0.0087	
73.0	-1.1040	0.0041	0.0087	
73.0	-1.1040	0.0041	0.0087	
73.5	-1.1038	0.0042	0.0087	
74.0	-1.1042	0.0043	0.0087	
74.0	-1.1042	0.0043	0.0087	
74.5	-1.1049	0.0044	0.0087	
74.5	-1.1049	0.0044	0.0087	
75.0	-1.1052	0.0045	0.0087	
76.0	-1.1054	0.0047	0.0087	
77.5	-1.1054	0.0048	0.0087	
78.0	-1.1048	0.0048	0.0087	
78.0	-1.1048	0.0048	0.0087	
78.0	-1.1048	0.0048	0.0087	
78.5	-1.1045	0.0049	0.0087	
78.5	-1.1045	0.0049	0.0087	
78.5	-1.1045	0.0049	0.0087	
79.0	-1.1043	0.0050	0.0087	
79.0	-1.1043	0.0050	0.0087	
79.0	-1.1043	0.0050	0.0087	
79.5	-1.1042	0.0051	0.0087	
79.5	-1.1042	0.0051	0.0087	
79.5	-1.1042	0.0051	0.0087	
80.0	-1.1040	0.0052	0.0087	
80.0	-1.1040	0.0052	0.0087	
80.0	-1.1040	0.0052	0.0087	
80.5	-1.1046	0.0053	0.0087	
80.5	-1.1046	0.0053	0.0087	
80.5	-1.1046	0.0053	0.0087	
81.0	-1.1056	0.0053	0.0087	
81.0	-1.1056	0.0053	0.0087	
81.0	-1.1056	0.0053	0.0087	
81.5	-1.1053	0.0053	0.0087	
81.5	-1.1053	0.0053	0.0087	
82.0	-1.1054	0.0053	0.0087	
82.0	-1.1054	0.0053	0.0087	
82.0	-1.1054	0.0053	0.0087	
82.5	-1.1058	0.0052	0.0087	
82.5	-1.1058	0.0052	0.0087	
82.5	-1.1058	0.0052	0.0087	
83.0	-1.1056	0.0052	0.0087	
83.0	-1.1056	0.0052	0.0087	
83.0	-1.1056	0.0052	0.0087	
83.5	-1.1047	0.0052	0.0087	
83.5	-1.1047	0.0052	0.0087	
84.0	-1.1046	0.0052	0.0087	
84.0	-1.1046	0.0052	0.0087	
84.0	-1.1046	0.0052	0.0087	
96.0	-1.1100	-0.0013	0.0076	
96.0	-1.1100	-0.0013	0.0076	
96.5	-1.1092	-0.0014	0.0076	
96.5	-1.1092	-0.0014	0.0076	
96.5	-1.1092	-0.0014	0.0076	
97.0	-1.1093	-0.0015	0.0076	
97.0	-1.1093	-0.0015	0.0076	
97.0	-1.1093	-0.0015	0.0076	
97.5	-1.1086	-0.0017	0.0076	
97.5	-1.1086	-0.0017	0.0076	
97.5	-1.1086	-0.0017	0.0076	
98.0	-1.1085	-0.0018	0.0076	
98.0	-1.1085	-0.0018	0.0076	
98.0	-1.1085	-0.0018	0.0076	
98.5	-1.1093	-0.0020	0.0076	
98.5	-1.1093	-0.0020	0.0076	
98.5	-1.1093	-0.0020	0.0076	
99.0	-1.1095	-0.0022	0.0076	
99.5	-1.1091	-0.0023	0.0076	
100.0	-1.1088	-0.0024	0.0076	
100.5	-1.1086	-0.0025	0.0076	
101.0	-1.1092	-0.0026	0.0076	
101.5	-1.1094	-0.0027	0.0076	
102.0	-1.1092	-0.0028	0.0076	
102.5	-1.1091	-0.0028	0.0076	
103.0	-1.1093	-0.0029	0.0076	
103.5	-1.1095	-0.0030	0.0076	
104.0	-1.1091	-0.0031	0.0076	
104.6	-1.1094	-0.0033	0.0076	
105.0	-1.1092	-0.0033	0.0076	
105.5	-1.1086	-0.0034	0.0076	
106.0	-1.1080	-0.0034	0.0076	
106.5	-1.1075	-0.0034	0.0076	
107.5	-1.1072	-0.0034	0.0076	
114.5	-1.1069	-0.0031	0.0076	
115.0	-1.1072	-0.0029	0.0076	
115.5	-1.1069	-0.0028	0.0076	
