Date:	Wed, Dec 11, 2013		
measured by:	Rotem		
Perovskites Roby 10/12 sample 3, measured by Ze Djerman :)
"Stable" after about 900s			
Time [s]	CPD stream	Light	SPV
0.000000	-384.273000		
0.499000	-383.843000		
1.000000	-383.586000		
1.500000	-383.488000		
2.000000	-383.899000		
2.500000	-383.727000		
3.000000	-383.215000		
3.500000	-382.815000		
4.000000	-383.274000		
4.500000	-382.695000		
5.000000	-382.810000		
5.500000	-382.743000		
6.000000	-383.126000		
6.500000	-383.160000		
7.000000	-382.397000		
7.500000	-382.072000		
8.000000	-381.711000		
8.500000	-381.844000		
9.000000	-381.662000		
9.500000	-381.366000		
10.000000	-381.511000		
10.500000	-381.332000		
11.000000	-381.879000		
11.500000	-381.253000		
12.000000	-381.128000		
12.500000	-380.642000		
13.000000	-380.415000		
13.500000	-380.401000		
14.000000	-380.325000		
14.500000	-380.171000		
15.000000	-379.604000		
15.500000	-379.993000		
16.000000	-380.097000		
16.500000	-379.721000		
17.000000	-379.361000		
17.500000	-379.058000		
18.000000	-379.144000		
18.500000	-379.105000		
19.000000	-378.713000		
19.500000	-378.603000		
20.000000	-378.714000		
20.500000	-378.507000		
21.000000	-378.179000		
21.500000	-378.160000		
22.000000	-378.038000		
22.500000	-377.620000		
23.000000	-377.483000		
23.500000	-377.487000		
24.000000	-377.522000		
24.500000	-377.555000		
25.000000	-377.674000		
25.500000	-377.638000		
26.000000	-377.159000		
26.500000	-377.408000		
27.000000	-377.121000		
27.500000	-377.065000		
28.000000	-377.110000		
28.500000	-377.151000		
29.000000	-377.000000		
29.500000	-376.578000		
30.000000	-376.623000		
30.500000	-376.371000		
31.000000	-376.399000		
31.500000	-376.558000		
32.000000	-376.360000		
32.500000	-376.616000		
33.000000	-376.145000		
33.500000	-376.084000		
34.000000	-376.312000		
34.500000	-375.933000		
35.000000	-375.665000		
35.500000	-375.726000		
36.000000	-375.987000		
36.500000	-375.721000		
37.000000	-375.489000		
37.500000	-375.730000		
