Date:	Wed, Dec 11, 2013		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-27.081100		
0.501000	-27.081100		
1.001000	-26.685800		
1.501000	-26.974300		
2.001000	-26.774600		
2.501000	-27.027900		
3.000000	-27.057800		
3.501000	-26.802400		
4.000000	-27.099900		
4.501000	-26.632600		
5.000000	-26.920400		
5.501000	-26.946000		
6.000000	-26.672600		
6.501000	-26.678500		
7.000000	-26.784600		
7.500000	-26.875300		
8.001000	-26.550900		
8.500000	-26.722200		
9.001000	-26.929000		
9.500000	-26.749400		
10.001000	-26.834700		
10.500000	-26.887400		
11.000000	-26.866000		
11.501000	-27.178600		
12.001000	-27.756100		
12.501000	-27.281300		
13.001000	-27.179700		
13.501000	-27.483600		
14.001000	-27.335600		
14.501000	-27.503000		
15.001000	-27.262000		
15.501000	-27.202200		
16.001000	-27.449500		
16.501000	-27.647600		
17.001000	-27.588400		
17.501000	-27.228800		
18.001000	-27.003000		
18.501000	-26.970400		
19.001000	88.784600		
19.501000	139.322600		
20.001000	120.852400		
20.501000	119.443900		
21.001000	120.601700		
21.501000	120.358400		
22.001000	120.675400		
22.501000	120.955100		
23.001000	120.761800		
23.501000	130.345300		
24.001000	147.127400		
24.501000	151.713500		
25.001000	151.319600		
25.501000	151.128100		
26.001000	150.307000		
26.501000	149.723200		
27.001000	148.858700		
27.501000	147.421900		
28.001000	148.433000		
28.501000	148.524900		
29.001000	148.379500		
29.501000	148.051800		
30.001000	147.757500		
30.501000	147.611600		
31.001000	147.399400		
31.501000	147.128000		
32.001000	146.208200		
32.501000	147.349800		
33.001000	148.125100		
33.501000	148.934900		
34.001000	149.433500		
34.501000	149.402100		
35.001000	150.098400		
35.501000	150.800500		
36.001000	151.285900		
36.501000	151.999800		
37.001000	153.159100		
37.501000	151.059200		
38.001000	113.750000		
38.501000	77.037000		
39.001000	54.105000		
39.501000	31.145500		
40.001000	20.365500		
40.501000	16.557900		
41.001000	12.257200		
41.501000	9.535800		
42.001000	7.434300		
42.501000	5.989800		
43.001000	4.655600		
43.501000	3.268200		
44.001000	2.968900		
44.501000	2.028700		
45.001000	1.527600		
45.501000	1.036700		
46.001000	0.721600		
46.501000	0.440000		
47.001000	-0.109500		
47.501000	0.078200		
48.001000	-0.258600		
48.501000	-0.772000		
49.001000	-0.705600		
49.501000	-0.576200		
50.001000	-0.936000		
50.501000	-1.296000		
51.001000	-1.484300		
51.501000	-1.658600		
52.001000	-1.620700		
52.501000	-1.645900		
53.001000	-2.181400		
53.501000	-1.699200		
54.001000	-2.065300		
54.501000	-2.003400		
55.001000	-2.394800		
55.501000	-2.598500		
56.001000	-2.355100		
56.501000	-2.492700		
57.001000	-2.513500		
57.501000	-2.908100		
58.001000	-2.613800		
58.501000	-2.561200		
59.001000	-2.803100		
59.501000	-3.072900		
60.001000	-2.925400		
60.501000	-2.839700		
61.001000	-3.437900		
61.501000	-3.345700		
62.001000	-3.363900		
62.501000	-3.361400		
63.001000	-3.337100		
63.501000	-3.502300		
64.001000	-3.418200		
64.501000	-3.929200		
65.001000	-3.916600		
65.501000	-3.706300		
66.001000	-3.956100		
66.501000	-3.940900		
67.001000	-3.994900		
67.501000	-3.937300		
68.001000	-4.162800		
68.501000	-3.724700		
69.001000	-4.108100		
69.501000	-4.471800		
70.001000	-4.229300		
70.501000	-4.449200		
71.001000	-4.341800		
71.501000	-4.586700		
72.001000	-4.689500		
72.501000	-4.694600		
73.001000	-4.812900		
73.501000	-4.636300		
74.001000	-4.797700		
74.501000	-4.648700		
75.001000	-4.715900		
75.501000	-4.827300		
76.001000	-4.999100		
76.501000	-4.989800		
77.001000	-4.866200		
77.501000	-5.125600		
78.001000	-5.208900		
78.501000	-5.146500		
79.001000	-5.201700		
79.501000	-5.449100		
80.001000	-5.400500		
80.501000	-5.332200		
81.001000	-5.452400		
81.501000	-5.470300		
82.001000	-5.309700		
82.501000	-5.406800		
83.001000	-5.646300		
83.501000	-5.649100		
84.001000	-5.604900		
84.501000	-5.403300		
85.001000	-6.057000		
85.501000	-5.855700		
86.000000	-5.825700		
86.501000	-6.030200		
